Museum Name,Month,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
National Gallery,1,0,402000,291000,435000,251000,340000,370000,422000,530000,413000,427000,536000,434289,491383,394954,510372,451289,0,107882,255472,243309,266364
National Gallery,2,0,342000,316000,324000,286000,339000,371000,407000,414000,494000,493000,475000,564105,471899,478465,423581,389120,0,168626,225522,242540,197276
National Gallery,3,0,507000,395000,414000,389000,466000,411000,453000,443000,692000,551000,576000,578834,526341,437032,563625,122917,0,170544,268132,263904,285685
National Gallery,4,437000,455000,385000,387000,358000,443000,402000,399000,549000,531000,576000,582391,593859,529623,552410,536234,0,0,263527,278028,266214,267387
National Gallery,5,391000,417000,344000,406000,341000,415000,379000,395000,440000,533000,575000,569944,482986,436894,460506,527889,0,36404,261732,259738,271627,355351
National Gallery,6,319000,276000,268000,303000,302000,346000,368000,425000,409000,489000,516000,446139,469255,356412,428434,553323,0,64661,262770,241147,247889,377294
National Gallery,7,460000,332000,411000,377000,454000,466000,519000,542000,415000,583000,581000,568275,538471,465114,594002,597199,30176,71505,280841,301220,282217,0
National Gallery,8,443000,268000,440000,382000,493000,481000,568000,517000,351000,568000,681000,464029,553085,446573,540749,526523,50950,107818,236749,316525,284429,0
National Gallery,9,325000,277000,284000,259000,296000,305000,345000,339000,373000,391000,381000,308832,429065,319761,367576,361311,44980,83779,195936,236605,283050,0
National Gallery,10,425000,299000,452000,282000,356000,334000,448000,402000,430000,476000,536000,436293,585215,416086,502528,500286,67903,129940,263647,252344,299408,0
National Gallery,11,448000,330000,505000,307000,344000,366000,402000,444000,415000,402000,505000,499436,527795,360265,449050,425642,8405,122233,247606,219963,270588,0
National Gallery,12,410000,297000,473000,285000,350000,387000,372000,508000,395000,459000,596000,446337,505880,408841,530125,485022,31403,113395,267259,241812,248276,0
Natural History Museum,1,0,223862,265744,261511,254620,292456,332557,360178,384493,373745,433845,400768,363712,367032,339191,424848,421714,0,219974,415402,456260,446924
