Museum,Year,RecommendPercent
Wallace Collection,2017/18,91
British Museum,2018/19,96
Museum of the Home,2018/19,98
Horniman Museum,2018/19,97
Imperial War Museums,2018/19,99
Museum of Science and Industry in Manchester,2018/19,
National Gallery,2018/19,94
National Museums Liverpool,2018/19,98
National Portrait Gallery,2018/19,95
Natural History Museum,2018/19,98
Royal Armouries,2018/19,95
Royal Museums Greenwich,2018/19,94
Science Museum Group,2018/19,98
Sir John Soane's Museum,2018/19,95
Tate Gallery Group,2018/19,96
Tyne and Wear Museums,2018/19,
Victoria and Albert Museum,2018/19,99
Wallace Collection,2018/19,93
British Museum,2019/20,99
Museum of the Home,2019/20,98
Horniman Museum,2019/20,92
Imperial War Museums,2019/20,99
Museum of Science and Industry in Manchester,2019/20,
National Gallery,2019/20,92
National Museums Liverpool,2019/20,97
National Portrait Gallery,2019/20,99
Natural History Museum,2019/20,99
Royal Armouries,2019/20,91
Royal Museums Greenwich,2019/20,95
Science Museum Group,2019/20,98
Sir John Soane's Museum,2019/20,90
Tate Gallery Group,2019/20,99
Tyne and Wear Museums,2019/20,
Victoria and Albert Museum,2019/20,100
Wallace Collection,2019/20,92
British Museum,2020/21,90
Museum of the Home,2020/21,98
Horniman Museum,2020/21,87
Imperial War Museums,2020/21,95
Museum of Science and Industry in Manchester,2020/21,
National Gallery,2020/21,91
National Museums Liverpool,2020/21,98
National Portrait Gallery,2020/21,
Natural History Museum,2020/21,94
Royal Armouries,2020/21,89
Royal Museums Greenwich,2020/21,90
Science Museum Group,2020/21,81
Sir John Soane's Museum,2020/21,88
Tate Gallery Group,2020/21,96
Tyne and Wear Museums,2020/21,
Victoria and Albert Museum,2020/21,97
Wallace Collection,2020/21,95
British Museum,2021/22,97
Museum of the Home,2021/22,98
Horniman Museum,2021/22,94
Imperial War Museums,2021/22,91
Museum of Science and Industry in Manchester,2021/22,
National Gallery,2021/22,95
National Museums Liverpool,2021/22,98
National Portrait Gallery,2021/22,
Natural History Museum,2021/22,90
Royal Armouries,2021/22,87
Royal Museums Greenwich,2021/22,81
Science Museum Group,2021/22,75
Sir John Soane's Museum,2021/22,80
Tate Gallery Group,2021/22,97
Tyne and Wear Museums,2021/22,
Victoria and Albert Museum,2021/22,99
Wallace Collection,2021/22,95
British Museum,2022/23,97
Museum of the Home,2022/23,98
Horniman Museum,2022/23,94
Imperial War Museums,2022/23,98
Museum of Science and Industry in Manchester,2022/23,
National Gallery,2022/23,91
National Museums Liverpool,2022/23,97
National Portrait Gallery,2022/23,
Natural History Museum,2022/23,93
Royal Armouries,2022/23,94
Royal Museums Greenwich,2022/23,83
Science Museum Group,2022/23,81
Sir John Soane's Museum,2022/23,87
Tate Gallery Group,2022/23,98
Tyne and Wear Museums,2022/23,
Victoria and Albert Museum,2022/23,99
Wallace Collection,2022/23,100
British Museum,2023/24,96
Museum of the Home,2023/24,98
Horniman Museum,2023/24,92
Imperial War Museums,2023/24,95
Museum of Science and Industry in Manchester,2023/24,
National Gallery,2023/24,94
National Museums Liverpool,2023/24,96
National Portrait Gallery,2023/24,99
Natural History Museum,2023/24,94
Royal Armouries,2023/24,92
Royal Museums Greenwich,2023/24,86
Science Museum Group,2023/24,81
Sir John Soane's Museum,2023/24,86
Tate Gallery Group,2023/24,98
Tyne and Wear Museums,2023/24,
Victoria and Albert Museum,2023/24,100
Wallace Collection,2023/24,100
