Museum,Year,Income,IncomeType
Wallace Collection,2016/17,,Admissions
Total,2016/17,43701000,Admissions
British Museum,2017/18,2200000,Admissions
Museum of the Home,2017/18,,Admissions
Horniman Museum,2017/18,758000,Admissions
Imperial War Museums,2017/18,10855000,Admissions
Museum of Science and Industry in Manchester,2017/18,,Admissions
National Gallery,2017/18,1800000,Admissions
National Museums Liverpool,2017/18,1707400,Admissions
National Portrait Gallery,2017/18,1969542,Admissions
Natural History Museum,2017/18,3580000,Admissions
Royal Armouries,2017/18,72725,Admissions
Royal Museums Greenwich,2017/18,6083593,Admissions
Science Museum Group,2017/18,2413000,Admissions
Sir John Soane's Museum,2017/18,52349,Admissions
Tate Gallery Group,2017/18,10941000,Admissions
Tyne and Wear Museums,2017/18,,Admissions
Victoria and Albert Museum,2017/18,5976000,Admissions
Wallace Collection,2017/18,,Admissions
Total,2017/18,48409000,Admissions
British Museum,2018/19,2000000,Admissions
Museum of the Home,2018/19,,Admissions
Horniman Museum,2018/19,724000,Admissions
Imperial War Museums,2018/19,12040000,Admissions
Museum of Science and Industry in Manchester,2018/19,,Admissions
National Gallery,2018/19,4400000,Admissions
National Museums Liverpool,2018/19,4961000,Admissions
National Portrait Gallery,2018/19,1574552,Admissions
Natural History Museum,2018/19,3460000,Admissions
Royal Armouries,2018/19,96051,Admissions
Royal Museums Greenwich,2018/19,7318909,Admissions
Science Museum Group,2018/19,1835000,Admissions
Sir John Soane's Museum,2018/19,76612,Admissions
Tate Gallery Group,2018/19,10835000,Admissions
Tyne and Wear Museums,2018/19,,Admissions
Victoria and Albert Museum,2018/19,9470000,Admissions
Wallace Collection,2018/19,,Admissions
Total,2018/19,58791000,Admissions
British Museum,2019/20,4300000,Admissions
Museum of the Home,2019/20,,Admissions
Horniman Museum,2019/20,766000,Admissions
Imperial War Museums,2019/20,12684000,Admissions
Museum of Science and Industry in Manchester,2019/20,,Admissions
National Gallery,2019/20,3300000,Admissions
National Museums Liverpool,2019/20,640000,Admissions
National Portrait Gallery,2019/20,2262152,Admissions
Natural History Museum,2019/20,2850000,Admissions
Royal Armouries,2019/20,58709,Admissions
Royal Museums Greenwich,2019/20,7760705,Admissions
Science Museum Group,2019/20,1725000,Admissions
Sir John Soane's Museum,2019/20,112963,Admissions
Tate Gallery Group,2019/20,13195000,Admissions
Tyne and Wear Museums,2019/20,,Admissions
Victoria and Albert Museum,2019/20,9260000,Admissions
Wallace Collection,2019/20,317000,Admissions
Total,2019/20,59232000,Admissions
British Museum,2020/21,300000,Admissions
Museum of the Home,2020/21,,Admissions
Horniman Museum,2020/21,110000,Admissions
Imperial War Museums,2020/21,1338000,Admissions
Museum of Science and Industry in Manchester,2020/21,,Admissions
National Gallery,2020/21,5500000,Admissions
National Museums Liverpool,2020/21,112000,Admissions
National Portrait Gallery,2020/21,1986000,Admissions
Natural History Museum,2020/21,210000,Admissions
Royal Armouries,2020/21,1665,Admissions
Royal Museums Greenwich,2020/21,429204,Admissions
Science Museum Group,2020/21,170000,Admissions
Sir John Soane's Museum,2020/21,1014,Admissions
Tate Gallery Group,2020/21,1594000,Admissions
Tyne and Wear Museums,2020/21,,Admissions
Victoria and Albert Museum,2020/21,1712000,Admissions
Wallace Collection,2020/21,28000,Admissions
Total,2020/21,13492000,Admissions
British Museum,2021/22,2800000,Admissions
Museum of the Home,2021/22,,Admissions
Horniman Museum,2021/22,460000,Admissions
Imperial War Museums,2021/22,6485000,Admissions
Museum of Science and Industry in Manchester,2021/22,,Admissions
National Gallery,2021/22,1700000,Admissions
National Museums Liverpool,2021/22,331000,Admissions
National Portrait Gallery,2021/22,1548000,Admissions
Natural History Museum,2021/22,3840000,Admissions
Royal Armouries,2021/22,33517,Admissions
Royal Museums Greenwich,2021/22,2475236,Admissions
Science Museum Group,2021/22,1653000,Admissions
Sir John Soane's Museum,2021/22,35115,Admissions
Tate Gallery Group,2021/22,4599000,Admissions
Tyne and Wear Museums,2021/22,,Admissions
Victoria and Albert Museum,2021/22,5667000,Admissions
Wallace Collection,2021/22,216000,Admissions
Total,2021/22,31843000,Admissions
British Museum,2022/23,3100000,Admissions
Museum of the Home,2022/23,,Admissions
Horniman Museum,2022/23,778000,Admissions
Imperial War Museums,2022/23,15043000,Admissions
Museum of Science and Industry in Manchester,2022/23,,Admissions
National Gallery,2022/23,5500000,Admissions
National Museums Liverpool,2022/23,849493,Admissions
National Portrait Gallery,2022/23,1789000,Admissions
Natural History Museum,2022/23,3040000,Admissions
Royal Armouries,2022/23,82975,Admissions
Royal Museums Greenwich,2022/23,6049828,Admissions
Science Museum Group,2022/23,3006000,Admissions
Sir John Soane's Museum,2022/23,95892,Admissions
Tate Gallery Group,2022/23,8279000,Admissions
Tyne and Wear Museums,2022/23,,Admissions
Victoria and Albert Museum,2022/23,8535000,Admissions
Wallace Collection,2022/23,,Admissions
Total,2022/23,56148000,Admissions
British Museum,2023/24,4100000,Admissions
Museum of the Home,2023/24,,Admissions
Horniman Museum,2023/24,807421,Admissions
Imperial War Museums,2023/24,17724000,Admissions
Museum of Science and Industry in Manchester,2023/24,,Admissions
National Gallery,2023/24,5600000,Admissions
National Museums Liverpool,2023/24,663894,Admissions
National Portrait Gallery,2023/24,5357000,Admissions
Natural History Museum,2023/24,6900000,Admissions
Royal Armouries,2023/24,102407,Admissions
Royal Museums Greenwich,2023/24,8438091,Admissions
Science Museum Group,2023/24,3793000,Admissions
Sir John Soane's Museum,2023/24,96424,Admissions
Tate Gallery Group,2023/24,9297000,Admissions
Tyne and Wear Museums,2023/24,,Admissions
