Museum,Year,Income,IncomeType
Museum of the Home,2015/16,232000,Fundraising
Horniman Museum,2015/16,408944,Fundraising
Imperial War Museums,2015/16,7713000,Fundraising
Museum of Science and Industry in Manchester,2015/16,,Fundraising
National Gallery,2015/16,15761879,Fundraising
National Museums Liverpool,2015/16,3171000,Fundraising
National Portrait Gallery,2015/16,7919000,Fundraising
Natural History Museum,2015/16,6187000,Fundraising
Royal Armouries,2015/16,783000,Fundraising
Royal Museums Greenwich,2015/16,3567000,Fundraising
Science Museum Group,2015/16,12667000,Fundraising
Sir John Soane's Museum,2015/16,2058000,Fundraising
Tate Gallery Group,2015/16,81199000,Fundraising
Tyne and Wear Museums,2015/16,,Fundraising
Victoria and Albert Museum,2015/16,25087000,Fundraising
Wallace Collection,2015/16,5583000,Fundraising
Total,2015/16,203137000,Fundraising
British Museum,2016/17,27100000,Fundraising
Museum of the Home,2016/17,294571,Fundraising
Horniman Museum,2016/17,738000,Fundraising
Imperial War Museums,2016/17,9800000,Fundraising
Museum of Science and Industry in Manchester,2016/17,,Fundraising
National Gallery,2016/17,11160000,Fundraising
National Museums Liverpool,2016/17,9062000,Fundraising
National Portrait Gallery,2016/17,5291000,Fundraising
Natural History Museum,2016/17,6378000,Fundraising
Royal Armouries,2016/17,1156429,Fundraising
Royal Museums Greenwich,2016/17,10981926,Fundraising
Science Museum Group,2016/17,19497000,Fundraising
Sir John Soane's Museum,2016/17,962614,Fundraising
Tate Gallery Group,2016/17,69777000,Fundraising
Tyne and Wear Museums,2016/17,,Fundraising
Victoria and Albert Museum,2016/17,29234000,Fundraising
Wallace Collection,2016/17,4230000,Fundraising
Total,2016/17,205663000,Fundraising
British Museum,2017/18,23300000,Fundraising
Museum of the Home,2017/18,1097231,Fundraising
Horniman Museum,2017/18,1156000,Fundraising
Imperial War Museums,2017/18,4063000,Fundraising
Museum of Science and Industry in Manchester,2017/18,,Fundraising
National Gallery,2017/18,27100000,Fundraising
National Museums Liverpool,2017/18,1770893,Fundraising
National Portrait Gallery,2017/18,7170000,Fundraising
Natural History Museum,2017/18,6930000,Fundraising
Royal Armouries,2017/18,445205,Fundraising
Royal Museums Greenwich,2017/18,5711000,Fundraising
Science Museum Group,2017/18,17041000,Fundraising
Sir John Soane's Museum,2017/18,757860,Fundraising
Tate Gallery Group,2017/18,51666000,Fundraising
Tyne and Wear Museums,2017/18,,Fundraising
Victoria and Albert Museum,2017/18,23576000,Fundraising
Wallace Collection,2017/18,3470000,Fundraising
Total,2017/18,175254000,Fundraising
British Museum,2018/19,22800000,Fundraising
Museum of the Home,2018/19,682492,Fundraising
Horniman Museum,2018/19,764000,Fundraising
Imperial War Museums,2018/19,14916000,Fundraising
Museum of Science and Industry in Manchester,2018/19,,Fundraising
National Gallery,2018/19,24700000,Fundraising
National Museums Liverpool,2018/19,1018400,Fundraising
National Portrait Gallery,2018/19,8411000,Fundraising
Natural History Museum,2018/19,7700000,Fundraising
Royal Armouries,2018/19,909622,Fundraising
Royal Museums Greenwich,2018/19,2360668,Fundraising
Science Museum Group,2018/19,19630000,Fundraising
Sir John Soane's Museum,2018/19,1070711,Fundraising
Tate Gallery Group,2018/19,44912000,Fundraising
Tyne and Wear Museums,2018/19,,Fundraising
Victoria and Albert Museum,2018/19,33427000,Fundraising
Wallace Collection,2018/19,2406000,Fundraising
Total,2018/19,185708000,Fundraising
British Museum,2019/20,23700000,Fundraising
Museum of the Home,2019/20,922055,Fundraising
Horniman Museum,2019/20,799000,Fundraising
Imperial War Museums,2019/20,9200000,Fundraising
Museum of Science and Industry in Manchester,2019/20,,Fundraising
National Gallery,2019/20,50200000,Fundraising
National Museums Liverpool,2019/20,1319000,Fundraising
National Portrait Gallery,2019/20,5818000,Fundraising
Natural History Museum,2019/20,7921000,Fundraising
Royal Armouries,2019/20,207332,Fundraising
Royal Museums Greenwich,2019/20,2255563,Fundraising
Science Museum Group,2019/20,27520000,Fundraising
Sir John Soane's Museum,2019/20,1520635,Fundraising
Tate Gallery Group,2019/20,51282000,Fundraising
Tyne and Wear Museums,2019/20,,Fundraising
Victoria and Albert Museum,2019/20,37116000,Fundraising
Wallace Collection,2019/20,2127000,Fundraising
Total,2019/20,221908000,Fundraising
British Museum,2020/21,40400000,Fundraising
Museum of the Home,2020/21,346517,Fundraising
Horniman Museum,2020/21,672000,Fundraising
Imperial War Museums,2020/21,5396000,Fundraising
Museum of Science and Industry in Manchester,2020/21,,Fundraising
National Gallery,2020/21,17600000,Fundraising
National Museums Liverpool,2020/21,1025000,Fundraising
National Portrait Gallery,2020/21,5653000,Fundraising
Natural History Museum,2020/21,3000000,Fundraising
Royal Armouries,2020/21,147898,Fundraising
Royal Museums Greenwich,2020/21,1326613,Fundraising
Science Museum Group,2020/21,3666000,Fundraising
Sir John Soane's Museum,2020/21,1233505,Fundraising
Tate Gallery Group,2020/21,41309000,Fundraising
Tyne and Wear Museums,2020/21,,Fundraising
Victoria and Albert Museum,2020/21,13363000,Fundraising
Wallace Collection,2020/21,1716000,Fundraising
Total,2020/21,136855000,Fundraising
British Museum,2021/22,17200000,Fundraising
Museum of the Home,2021/22,322531,Fundraising
Horniman Museum,2021/22,946000,Fundraising
Imperial War Museums,2021/22,3642000,Fundraising
Museum of Science and Industry in Manchester,2021/22,,Fundraising
National Gallery,2021/22,22400000,Fundraising
National Museums Liverpool,2021/22,3533000,Fundraising
National Portrait Gallery,2021/22,16174000,Fundraising
Natural History Museum,2021/22,6400000,Fundraising
Royal Armouries,2021/22,115442,Fundraising
Royal Museums Greenwich,2021/22,2180057,Fundraising
Science Museum Group,2021/22,13411000,Fundraising
Sir John Soane's Museum,2021/22,1321878,Fundraising
Tate Gallery Group,2021/22,27706000,Fundraising
Tyne and Wear Museums,2021/22,,Fundraising
Victoria and Albert Museum,2021/22,26166000,Fundraising
Wallace Collection,2021/22,1503000,Fundraising
Total,2021/22,143021000,Fundraising
British Museum,2022/23,31300000,Fundraising
Museum of the Home,2022/23,211145,Fundraising
Horniman Museum,2022/23,849000,Fundraising
Imperial War Museums,2022/23,9929000,Fundraising
Museum of Science and Industry in Manchester,2022/23,,Fundraising
National Gallery,2022/23,33100000,Fundraising
National Museums Liverpool,2022/23,10541167,Fundraising
National Portrait Gallery,2022/23,12332000,Fundraising
Natural History Museum,2022/23,9200000,Fundraising
Royal Armouries,2022/23,223476,Fundraising
Royal Museums Greenwich,2022/23,1822998,Fundraising
Science Museum Group,2022/23,18563000,Fundraising
Sir John Soane's Museum,2022/23,1482740,Fundraising
Tate Gallery Group,2022/23,35749000,Fundraising
Tyne and Wear Museums,2022/23,,Fundraising
Victoria and Albert Museum,2022/23,18858000,Fundraising
Wallace Collection,2022/23,1734000,Fundraising
Total,2022/23,185896000,Fundraising
British Museum,2023/24,141500000,Fundraising
Museum of the Home,2023/24,791642,Fundraising
Horniman Museum,2023/24,1843000,Fundraising
Imperial War Museums,2023/24,3975000,Fundraising
Museum of Science and Industry in Manchester,2023/24,,Fundraising
National Gallery,2023/24,66000000,Fundraising
National Museums Liverpool,2023/24,5901460,Fundraising
National Portrait Gallery,2023/24,25288000,Fundraising
Natural History Museum,2023/24,9400000,Fundraising
Royal Armouries,2023/24,263231,Fundraising
Royal Museums Greenwich,2023/24,3219190,Fundraising
Science Museum Group,2023/24,19150000,Fundraising
Sir John Soane's Museum,2023/24,1592931,Fundraising
Tate Gallery Group,2023/24,38551000,Fundraising
Tyne and Wear Museums,2023/24,,Fundraising
Victoria and Albert Museum,2023/24,23852000,Fundraising
Wallace Collection,2023/24,1864000,Fundraising
Total,2023/24,343191000,Fundraising
British Museum,Notes,,Fundraising
Museum of the Home,Notes,,Fundraising
Horniman Museum,Notes,,Fundraising
Imperial War Museums,Notes,,Fundraising
Museum of Science and Industry in Manchester,Notes,,Fundraising
National Gallery,Notes,,Fundraising
National Museums Liverpool,Notes,,Fundraising
National Portrait Gallery,Notes,,Fundraising
Natural History Museum,Notes,,Fundraising
Royal Armouries,Notes,,Fundraising
Royal Museums Greenwich,Notes,,Fundraising
Science Museum Group,Notes,,Fundraising
Sir John Soane's Museum,Notes,,Fundraising
Tate Gallery Group,Notes,,Fundraising
Tyne and Wear Museums,Notes,,Fundraising
Victoria and Albert Museum,Notes,,Fundraising
Wallace Collection,Notes,,Fundraising
Total,Notes,,Fundraising
