Museum,Year,VisitorCount,VisitorType
British Museum,2015/16,6853540,Total
Museum of the Home,2015/16,114190,Total
Horniman Museum,2015/16,793883,Total
Imperial War Museums,2015/16,2538516,Total
Museum of Science and Industry in Manchester,2015/16,,Total
National Coal Mining Museum,2015/16,138291,Total
National Gallery,2015/16,5898904,Total
National Museums Liverpool,2015/16,2847987,Total
National Portrait Gallery,2015/16,2102975,Total
Natural History Museum,2015/16,5351797,Total
Royal Armouries,2015/16,1944414,Total
Royal Museums Greenwich,2015/16,2403177,Total
Science Museum Group,2015/16,5549292,Total
Sir John Soane's Museum,2015/16,119361,Total
Tate Gallery Group,2015/16,6662460,Total
Tyne and Wear Museums,2015/16,,Total
Victoria and Albert Museum,2015/16,3929809,Total
Wallace Collection,2015/16,426703,Total
Total,2015/16,47675000,Total
British Museum,2016/17,6229028,Total
Museum of the Home,2016/17,121770,Total
Horniman Museum,2016/17,784928,Total
Imperial War Museums,2016/17,2415977,Total
Museum of Science and Industry in Manchester,2016/17,,Total
National Coal Mining Museum,2016/17,121932,Total
National Gallery,2016/17,6175234,Total
National Museums Liverpool,2016/17,3033228,Total
National Portrait Gallery,2016/17,1879445,Total
Natural History Museum,2016/17,4606443,Total
Royal Armouries,2016/17,1870534,Total
Royal Museums Greenwich,2016/17,2440681,Total
Science Museum Group,2016/17,5204824,Total
Sir John Soane's Museum,2016/17,121504,Total
Tate Gallery Group,2016/17,8448220,Total
Tyne and Wear Museums,2016/17,,Total
Victoria and Albert Museum,2016/17,3439820,Total
Wallace Collection,2016/17,419202,Total
Total,2016/17,47313000,Total
British Museum,2017/18,5822515,Total
Museum of the Home,2017/18,114906,Total
Horniman Museum,2017/18,813195,Total
Imperial War Museums,2017/18,2465461,Total
Museum of Science and Industry in Manchester,2017/18,,Total
National Coal Mining Museum,2017/18,134815,Total
National Gallery,2017/18,5050020,Total
National Museums Liverpool,2017/18,3305671,Total
National Portrait Gallery,2017/18,1691545,Total
Natural History Museum,2017/18,4712656,Total
Royal Armouries,2017/18,2112635,Total
Royal Museums Greenwich,2017/18,2560150,Total
Science Museum Group,2017/18,5325039,Total
Sir John Soane's Museum,2017/18,130700,Total
Tate Gallery Group,2017/18,8165704,Total
Tyne and Wear Museums,2017/18,,Total
Victoria and Albert Museum,2017/18,4396557,Total
Wallace Collection,2017/18,463284,Total
Total,2017/18,47265000,Total
British Museum,2018/19,6025471,Total
Museum of the Home,2018/19,38463,Total
Horniman Museum,2018/19,808197,Total
Imperial War Museums,2018/19,2688010,Total
Museum of Science and Industry in Manchester,2018/19,,Total
National Coal Mining Museum,2018/19,110484,Total
National Gallery,2018/19,5922958,Total
National Museums Liverpool,2018/19,3965453,Total
National Portrait Gallery,2018/19,1549896,Total
Natural History Museum,2018/19,5492645,Total
Royal Armouries,2018/19,2294347,Total
Royal Museums Greenwich,2018/19,2654092,Total
Science Museum Group,2018/19,5209847,Total
Sir John Soane's Museum,2018/19,132486,Total
Tate Gallery Group,2018/19,8157755,Total
Tyne and Wear Museums,2018/19,,Total
Victoria and Albert Museum,2018/19,4293188,Total
Wallace Collection,2018/19,421676,Total
Total,2018/19,49765000,Total
British Museum,2019/20,5943006,Total
Museum of the Home,2019/20,17034,Total
Horniman Museum,2019/20,758599,Total
Imperial War Museums,2019/20,2498846,Total
Museum of Science and Industry in Manchester,2019/20,,Total
National Coal Mining Museum,2019/20,108553,Total
National Gallery,2019/20,5476755,Total
National Museums Liverpool,2019/20,3099157,Total
National Portrait Gallery,2019/20,1542432,Total
