Museum,Year,VisitorCount,VisitorType
Tyne and Wear Museums,2010/11,493045880333333,Overseas
Victoria and Albert Museum,2010/11,1214000,Overseas
Wallace Collection,2010/11,139440,Overseas
Total,2010/11,17744000,Overseas
British Museum,2011/12,3504995,Overseas
Museum of the Home,2011/12,11718,Overseas
Horniman Museum,2011/12,15272,Overseas
Imperial War Museums,2011/12,836546,Overseas
Museum of Science and Industry in Manchester,2011/12,,Overseas
National Gallery,2011/12,3101807,Overseas
National Museums Liverpool,2011/12,39493938,Overseas
National Portrait Gallery,2011/12,8205417,Overseas
Natural History Museum,2011/12,2556544,Overseas
Royal Armouries,2011/12,1269078,Overseas
Royal Museums Greenwich,2011/12,1052406,Overseas
Science Museum Group,2011/12,1077229,Overseas
Sir John Soane's Museum,2011/12,34529,Overseas
Tate Gallery Group,2011/12,3601000,Overseas
Tyne and Wear Museums,2011/12,46998,Overseas
Victoria and Albert Museum,2011/12,1444400,Overseas
Wallace Collection,2011/12,127780,Overseas
Total,2011/12,19896000,Overseas
British Museum,2012/13,3609800,Overseas
Museum of the Home,2012/13,11728,Overseas
Horniman Museum,2012/13,24491,Overseas
Imperial War Museums,2012/13,727707,Overseas
Museum of Science and Industry in Manchester,2012/13,,Overseas
National Gallery,2012/13,3225000,Overseas
National Museums Liverpool,2012/13,524368,Overseas
National Portrait Gallery,2012/13,923413,Overseas
Natural History Museum,2012/13,2670989,Overseas
Royal Armouries,2012/13,1227563,Overseas
Royal Museums Greenwich,2012/13,1007526,Overseas
Science Museum Group,2012/13,1240000,Overseas
Sir John Soane's Museum,2012/13,35749,Overseas
Tate Gallery Group,2012/13,3620000,Overseas
Tyne and Wear Museums,2012/13,44739,Overseas
Victoria and Albert Museum,2012/13,1536900,Overseas
Wallace Collection,2012/13,143547,Overseas
Total,2012/13,20574000,Overseas
British Museum,2013/14,3918341,Overseas
Museum of the Home,2013/14,15582,Overseas
Horniman Museum,2013/14,27922,Overseas
Imperial War Museums,2013/14,691000,Overseas
Museum of Science and Industry in Manchester,2013/14,,Overseas
National Gallery,2013/14,3600000,Overseas
National Museums Liverpool,2013/14,433629,Overseas
National Portrait Gallery,2013/14,802231,Overseas
Natural History Museum,2013/14,2667441,Overseas
Royal Armouries,2013/14,1324849,Overseas
Royal Museums Greenwich,2013/14,1154406,Overseas
Science Museum Group,2013/14,1559000,Overseas
Sir John Soane's Museum,2013/14,57266,Overseas
Tate Gallery Group,2013/14,3485000,Overseas
Tyne and Wear Museums,2013/14,42882,Overseas
Victoria and Albert Museum,2013/14,1713000,Overseas
Wallace Collection,2013/14,166188,Overseas
Total,2013/14,21659000,Overseas
British Museum,2014/15,4296000,Overseas
Museum of the Home,2014/15,18389,Overseas
Horniman Museum,2014/15,37519,Overseas
Imperial War Museums,2014/15,957000,Overseas
Museum of Science and Industry in Manchester,2014/15,,Overseas
National Gallery,2014/15,4100000,Overseas
National Museums Liverpool,2014/15,403454,Overseas
National Portrait Gallery,2014/15,783145,Overseas
Natural History Museum,2014/15,3005663,Overseas
Royal Armouries,2014/15,1374649,Overseas
Royal Museums Greenwich,2014/15,984216,Overseas
Science Museum Group,2014/15,1760000,Overseas
Sir John Soane's Museum,2014/15,58260,Overseas
Tate Gallery Group,2014/15,3731000,Overseas
Tyne and Wear Museums,2014/15,84028,Overseas
Victoria and Albert Museum,2014/15,2067800,Overseas
Wallace Collection,2014/15,175412,Overseas
Total,2014/15,23837000,Overseas
British Museum,2015/16,4413385,Overseas
Museum of the Home,2015/16,15986,Overseas
Horniman Museum,2015/16,,Overseas
Imperial War Museums,2015/16,999611,Overseas
Museum of Science and Industry in Manchester,2015/16,,Overseas
National Gallery,2015/16,3846085,Overseas
National Museums Liverpool,2015/16,407261,Overseas
National Portrait Gallery,2015/16,853639,Overseas
Natural History Museum,2015/16,2887000,Overseas
Royal Armouries,2015/16,1312202,Overseas
Royal Museums Greenwich,2015/16,786314,Overseas
Science Museum Group,2015/16,1735000,Overseas
Sir John Soane's Museum,2015/16,48807,Overseas
Tate Gallery Group,2015/16,3109189,Overseas
Tyne and Wear Museums,2015/16,,Overseas
Victoria and Albert Museum,2015/16,1656200,Overseas
Wallace Collection,2015/16,157880,Overseas
Total,2015/16,22229000,Overseas
British Museum,2016/17,4084574,Overseas
Museum of the Home,2016/17,24886,Overseas
Horniman Museum,2016/17,52000,Overseas
Imperial War Museums,2016/17,925000,Overseas
Museum of Science and Industry in Manchester,2016/17,,Overseas
National Gallery,2016/17,4000000,Overseas
National Museums Liverpool,2016/17,421618,Overseas
National Portrait Gallery,2016/17,834000,Overseas
Natural History Museum,2016/17,2535000,Overseas
Royal Armouries,2016/17,1252327,Overseas
Royal Museums Greenwich,2016/17,764073,Overseas
Science Museum Group,2016/17,1672000,Overseas
Sir John Soane's Museum,2016/17,59536,Overseas
Tate Gallery Group,2016/17,3963263,Overseas
Tyne and Wear Museums,2016/17,,Overseas
Victoria and Albert Museum,2016/17,1380348,Overseas
Wallace Collection,2016/17,167302,Overseas
Total,2016/17,22136000,Overseas
British Museum,2017/18,3652500,Overseas
Museum of the Home,2017/18,23741,Overseas
Horniman Museum,2017/18,69000,Overseas
Imperial War Museums,2017/18,1018000,Overseas
Museum of Science and Industry in Manchester,2017/18,,Overseas
National Gallery,2017/18,3233480,Overseas
National Museums Liverpool,2017/18,462794,Overseas
National Portrait Gallery,2017/18,647000,Overseas
Natural History Museum,2017/18,2628692,Overseas
Royal Armouries,2017/18,1413170,Overseas
Royal Museums Greenwich,2017/18,1598580,Overseas
Science Museum Group,2017/18,1578000,Overseas
Sir John Soane's Museum,2017/18,67964,Overseas
Tate Gallery Group,2017/18,3883000,Overseas
Tyne and Wear Museums,2017/18,,Overseas
Victoria and Albert Museum,2017/18,1948920,Overseas
Wallace Collection,2017/18,186240,Overseas
Total,2017/18,22411000,Overseas
British Museum,2018/19,3400000,Overseas
Museum of the Home,2018/19,,Overseas
Horniman Museum,2018/19,76000,Overseas
Imperial War Museums,2018/19,1097000,Overseas
Museum of Science and Industry in Manchester,2018/19,,Overseas
National Gallery,2018/19,3909152,Overseas
National Museums Liverpool,2018/19,507577,Overseas
National Portrait Gallery,2018/19,610000,Overseas
Natural History Museum,2018/19,3191000,Overseas
Royal Armouries,2018/19,1477534,Overseas
Royal Museums Greenwich,2018/19,1858094,Overseas
Science Museum Group,2018/19,1721000,Overseas
Sir John Soane's Museum,2018/19,66010,Overseas
Tate Gallery Group,2018/19,3627000,Overseas
Tyne and Wear Museums,2018/19,,Overseas
Victoria and Albert Museum,2018/19,1662931,Overseas
Wallace Collection,2018/19,122286,Overseas
Total,2018/19,23326000,Overseas
British Museum,2019/20,3777315,Overseas
Museum of the Home,2019/20,,Overseas
Horniman Museum,2019/20,79000,Overseas
Imperial War Museums,2019/20,1199000,Overseas
Museum of Science and Industry in Manchester,2019/20,,Overseas
National Gallery,2019/20,3500000,Overseas
National Museums Liverpool,2019/20,644625,Overseas
National Portrait Gallery,2019/20,648000,Overseas
Natural History Museum,2019/20,3507000,Overseas
Royal Armouries,2019/20,1266284,Overseas
Royal Museums Greenwich,2019/20,1869908,Overseas
Science Museum Group,2019/20,1769000,Overseas
Sir John Soane's Museum,2019/20,68367,Overseas
Tate Gallery Group,2019/20,3659000,Overseas
Tyne and Wear Museums,2019/20,,Overseas
Victoria and Albert Museum,2019/20,2076174,Overseas
Wallace Collection,2019/20,155898,Overseas
Total,2019/20,24220000,Overseas
British Museum,2020/21,3202,Overseas
Museum of the Home,2020/21,,Overseas
Horniman Museum,2020/21,1000,Overseas
Imperial War Museums,2020/21,8000,Overseas
Museum of Science and Industry in Manchester,2020/21,,Overseas
National Gallery,2020/21,5600,Overseas
National Museums Liverpool,2020/21,1989,Overseas
National Portrait Gallery,2020/21,,Overseas
Natural History Museum,2020/21,6000,Overseas
Royal Armouries,2020/21,1574,Overseas
Royal Museums Greenwich,2020/21,2597,Overseas
Science Museum Group,2020/21,4800,Overseas
Sir John Soane's Museum,2020/21,63,Overseas
Tate Gallery Group,2020/21,14000,Overseas
Tyne and Wear Museums,2020/21,,Overseas
Victoria and Albert Museum,2020/21,3700,Overseas
Wallace Collection,2020/21,1836,Overseas
Total,2020/21,54000,Overseas
British Museum,2021/22,276033,Overseas
Museum of the Home,2021/22,,Overseas
Horniman Museum,2021/22,3000,Overseas
Imperial War Museums,2021/22,266000,Overseas
Museum of Science and Industry in Manchester,2021/22,,Overseas
National Gallery,2021/22,122000,Overseas
National Museums Liverpool,2021/22,33341,Overseas
National Portrait Gallery,2021/22,,Overseas
Natural History Museum,2021/22,154000,Overseas
Royal Armouries,2021/22,136005,Overseas
Royal Museums Greenwich,2021/22,25674,Overseas
Science Museum Group,2021/22,84500,Overseas
Sir John Soane's Museum,2021/22,6111,Overseas
Tate Gallery Group,2021/22,198000,Overseas
Tyne and Wear Museums,2021/22,,Overseas
Victoria and Albert Museum,2021/22,94500,Overseas
Wallace Collection,2021/22,19498,Overseas
Total,2021/22,1385000,Overseas
British Museum,2022/23,2500000,Overseas
Museum of the Home,2022/23,,Overseas
Horniman Museum,2022/23,54000,Overseas
Imperial War Museums,2022/23,744000,Overseas
Museum of Science and Industry in Manchester,2022/23,,Overseas
National Gallery,2022/23,1290064,Overseas
National Museums Liverpool,2022/23,354959,Overseas
National Portrait Gallery,2022/23,,Overseas
Natural History Museum,2022/23,1614075,Overseas
Royal Armouries,2022/23,362530,Overseas
Royal Museums Greenwich,2022/23,932719,Overseas
Science Museum Group,2022/23,612000,Overseas
Sir John Soane's Museum,2022/23,61541,Overseas
Tate Gallery Group,2022/23,1906000,Overseas
Tyne and Wear Museums,2022/23,,Overseas
Victoria and Albert Museum,2022/23,932300,Overseas
Wallace Collection,2022/23,97208,Overseas
Total,2022/23,11461000,Overseas
British Museum,2023/24,3725890,Overseas
Museum of the Home,2023/24,,Overseas
Horniman Museum,2023/24,36776,Overseas
Imperial War Museums,2023/24,1059000,Overseas
Museum of Science and Industry in Manchester,2023/24,,Overseas
National Gallery,2023/24,1726372,Overseas
National Museums Liverpool,2023/24,450807,Overseas
National Portrait Gallery,2023/24,589000,Overseas
Natural History Museum,2023/24,3408562,Overseas
Royal Armouries,2023/24,413476,Overseas
Royal Museums Greenwich,2023/24,1495711,Overseas
Science Museum Group,2023/24,863000,Overseas
Sir John Soane's Museum,2023/24,72651,Overseas
Tate Gallery Group,2023/24,2573000,Overseas
Tyne and Wear Museums,2023/24,,Overseas
Victoria and Albert Museum,2023/24,1492300,Overseas
Wallace Collection,2023/24,186605,Overseas
Total,2023/24,18093000,Overseas
British Museum,2008/09,1520230,Other
British Museum,2009/10,1275931,Other
British Museum,2010/11,1373958,Other
British Museum,2011/12,1571646,Other
British Museum,2012/13,1112189,Other
British Museum,2013/14,1949570,Other
British Museum,2014/15,1394990,Other
British Museum,2015/16,1410073,Other
British Museum,2016/17,1347063,Other
British Museum,2017/18,1281548,Other
British Museum,2018/19,1637322,Other
British Museum,2019/20,1303398,Other
British Museum,2020/21,111489,Other
British Museum,2021/22,1379137,Other
British Museum,2022/23,1012598,Other
British Museum,2023/24,1055242,Other
Horniman Museum,2008/09,197070,Other
Horniman Museum,2009/10,284926,Other
Horniman Museum,2010/11,286542,Other
Horniman Museum,2011/12,261414,Other
Horniman Museum,2012/13,298168,Other
Horniman Museum,2013/14,375588,Other
Horniman Museum,2014/15,402317,Other
Horniman Museum,2015/16,793883,Other
Horniman Museum,2016/17,465928,Other
Horniman Museum,2017/18,493195,Other
Horniman Museum,2018/19,486197,Other
Horniman Museum,2019/20,407599,Other
Horniman Museum,2020/21,49025,Other
Horniman Museum,2021/22,211463,Other
Horniman Museum,2022/23,449297,Other
Horniman Museum,2023/24,483054,Other
Imperial War Museums,2008/09,791624,Other
Imperial War Museums,2009/10,749700,Other
Imperial War Museums,2010/11,-76491530,Other
Imperial War Museums,2011/12,984434,Other
Imperial War Museums,2012/13,734636,Other
Imperial War Museums,2013/14,671924,Other
Imperial War Museums,2014/15,-70251389,Other
Imperial War Museums,2015/16,1010709,Other
Imperial War Museums,2016/17,977977,Other
Imperial War Museums,2017/18,936461,Other
Imperial War Museums,2018/19,1071010,Other
Imperial War Museums,2019/20,782846,Other
Imperial War Museums,2020/21,215770,Other
Imperial War Museums,2021/22,623153,Other
Imperial War Museums,2022/23,821399,Other
Imperial War Museums,2023/24,764388,Other
Museum of Science and Industry in Manchester,2008/09,-298050,Other
Museum of Science and Industry in Manchester,2009/10,283963,Other
Museum of Science and Industry in Manchester,2010/11,319579,Other
Museum of Science and Industry in Manchester,2011/12,0,Other
Museum of Science and Industry in Manchester,2012/13,0,Other
Museum of Science and Industry in Manchester,2013/14,0,Other
Museum of Science and Industry in Manchester,2014/15,0,Other
Museum of Science and Industry in Manchester,2015/16,0,Other
Museum of Science and Industry in Manchester,2016/17,0,Other
Museum of Science and Industry in Manchester,2017/18,0,Other
Museum of Science and Industry in Manchester,2018/19,0,Other
Museum of Science and Industry in Manchester,2019/20,0,Other
Museum of Science and Industry in Manchester,2020/21,0,Other
Museum of Science and Industry in Manchester,2021/22,0,Other
Museum of Science and Industry in Manchester,2022/23,0,Other
Museum of Science and Industry in Manchester,2023/24,0,Other
Museum of the Home,2008/09,56478,Other
Museum of the Home,2009/10,61628,Other
Museum of the Home,2010/11,70690,Other
Museum of the Home,2011/12,71979,Other
Museum of the Home,2012/13,72041,Other
Museum of the Home,2013/14,76078,Other
Museum of the Home,2014/15,70308,Other
Museum of the Home,2015/16,80480,Other
Museum of the Home,2016/17,78806,Other
Museum of the Home,2017/18,75178,Other
Museum of the Home,2018/19,35601,Other
Museum of the Home,2019/20,14530,Other
Museum of the Home,2020/21,0,Other
Museum of the Home,2021/22,59447,Other
Museum of the Home,2022/23,136795,Other
Museum of the Home,2023/24,148684,Other
National Coal Mining Museum,2008/09,116186,Other
National Coal Mining Museum,2009/10,118417,Other
National Coal Mining Museum,2010/11,107582,Other
National Coal Mining Museum,2011/12,101403,Other
National Coal Mining Museum,2012/13,119800,Other
National Coal Mining Museum,2013/14,125317,Other
National Coal Mining Museum,2014/15,119723,Other
National Coal Mining Museum,2015/16,138291,Other
National Coal Mining Museum,2016/17,121932,Other
National Coal Mining Museum,2017/18,134815,Other
National Coal Mining Museum,2018/19,110484,Other
National Coal Mining Museum,2019/20,108553,Other
National Coal Mining Museum,2020/21,5074,Other
National Coal Mining Museum,2021/22,40187,Other
National Coal Mining Museum,2022/23,74380,Other
National Coal Mining Museum,2023/24,98383,Other
National Gallery,2008/09,2366600,Other
National Gallery,2009/10,2689800,Other
National Gallery,2010/11,2288292,Other
National Gallery,2011/12,1900248,Other
National Gallery,2012/13,1936000,Other
National Gallery,2013/14,1903000,Other
National Gallery,2014/15,1934000,Other
National Gallery,2015/16,1662312,Other
National Gallery,2016/17,1775234,Other
National Gallery,2017/18,1361832,Other
National Gallery,2018/19,1480740,Other
National Gallery,2019/20,1576755,Other
National Gallery,2020/21,200217,Other
National Gallery,2021/22,1019287,Other
National Gallery,2022/23,1541223,Other
National Gallery,2023/24,1096898,Other
National Museums Liverpool,2008/09,1909821,Other
National Museums Liverpool,2009/10,1532812,Other
National Museums Liverpool,2010/11,1787747,Other
National Museums Liverpool,2011/12,-36945942,Other
National Museums Liverpool,2012/13,2326866,Other
National Museums Liverpool,2013/14,1842926,Other
National Museums Liverpool,2014/15,1749184,Other
National Museums Liverpool,2015/16,1982201,Other
National Museums Liverpool,2016/17,2092928,Other
National Museums Liverpool,2017/18,2274302,Other
National Museums Liverpool,2018/19,2930471,Other
National Museums Liverpool,2019/20,1831602,Other
National Museums Liverpool,2020/21,164875,Other
National Museums Liverpool,2021/22,1108576,Other
National Museums Liverpool,2022/23,1563230,Other
National Museums Liverpool,2023/24,1471056,Other
National Portrait Gallery,2008/09,981436,Other
National Portrait Gallery,2009/10,1115534,Other
National Portrait Gallery,2010/11,1028776,Other
National Portrait Gallery,2011/12,-6291149,Other
National Portrait Gallery,2012/13,969714,Other
National Portrait Gallery,2013/14,1041618,Other
National Portrait Gallery,2014/15,1139888,Other
National Portrait Gallery,2015/16,1095936,Other
National Portrait Gallery,2016/17,889445,Other
National Portrait Gallery,2017/18,899545,Other
National Portrait Gallery,2018/19,810896,Other
National Portrait Gallery,2019/20,786432,Other
National Portrait Gallery,2020/21,0,Other
National Portrait Gallery,2021/22,0,Other
National Portrait Gallery,2022/23,0,Other
National Portrait Gallery,2023/24,868000,Other
Natural History Museum,2008/09,1417247,Other
Natural History Museum,2009/10,1719254,Other
Natural History Museum,2010/11,1356004,Other
Natural History Museum,2011/12,1147003,Other
Natural History Museum,2012/13,1329966,Other
Natural History Museum,2013/14,1452098,Other
Natural History Museum,2014/15,1009285,Other
Natural History Museum,2015/16,1136797,Other
Natural History Museum,2016/17,972443,Other
Natural History Museum,2017/18,891964,Other
Natural History Museum,2018/19,789645,Other
Natural History Museum,2019/20,544859,Other
Natural History Museum,2020/21,202285,Other
Natural History Museum,2021/22,1527002,Other
Natural History Museum,2022/23,2021021,Other
Natural History Museum,2023/24,748195,Other
Royal Armouries,2008/09,198545,Other
Royal Armouries,2009/10,191689,Other
Royal Armouries,2010/11,208537,Other
Royal Armouries,2011/12,39103,Other
Royal Armouries,2012/13,61996,Other
Royal Armouries,2013/14,54472,Other
Royal Armouries,2014/15,68279,Other
Royal Armouries,2015/16,71548,Other
Royal Armouries,2016/17,77576,Other
Royal Armouries,2017/18,230139,Other
Royal Armouries,2018/19,291423,Other
Royal Armouries,2019/20,427217,Other
Royal Armouries,2020/21,104889,Other
Royal Armouries,2021/22,503658,Other
Royal Armouries,2022/23,1170689,Other
Royal Armouries,2023/24,1393358,Other
Royal Museums Greenwich,2008/09,545051,Other
Royal Museums Greenwich,2009/10,-169234851,Other
Royal Museums Greenwich,2010/11,484717,Other
Royal Museums Greenwich,2011/12,355233,Other
Royal Museums Greenwich,2012/13,470818,Other
Royal Museums Greenwich,2013/14,870860,Other
Royal Museums Greenwich,2014/15,901414,Other
Royal Museums Greenwich,2015/16,1078514,Other
Royal Museums Greenwich,2016/17,1139586,Other
Royal Museums Greenwich,2017/18,392485,Other
Royal Museums Greenwich,2018/19,187268,Other
Royal Museums Greenwich,2019/20,160487,Other
Royal Museums Greenwich,2020/21,77620,Other
Royal Museums Greenwich,2021/22,676757,Other
Royal Museums Greenwich,2022/23,751363,Other
Royal Museums Greenwich,2023/24,550701,Other
Science Museum Group,2008/09,-232698892,Other
Science Museum Group,2009/10,1942383,Other
Science Museum Group,2010/11,1849298,Other
Science Museum Group,2011/12,2250007,Other
Science Museum Group,2012/13,2159831,Other
Science Museum Group,2013/14,2314620,Other
Science Museum Group,2014/15,1879773,Other
Science Museum Group,2015/16,2066292,Other
Science Museum Group,2016/17,1934824,Other
Science Museum Group,2017/18,2118039,Other
Science Museum Group,2018/19,1895847,Other
Science Museum Group,2019/20,1775956,Other
Science Museum Group,2020/21,225152,Other
Science Museum Group,2021/22,1423756,Other
Science Museum Group,2022/23,1775118,Other
Science Museum Group,2023/24,1808208,Other
Sir John Soane's Museum,2008/09,68232,Other
Sir John Soane's Museum,2009/10,82697,Other
Sir John Soane's Museum,2010/11,71866,Other
Sir John Soane's Museum,2011/12,69526,Other
Sir John Soane's Museum,2012/13,66550,Other
Sir John Soane's Museum,2013/14,60382,Other
Sir John Soane's Museum,2014/15,57306,Other
Sir John Soane's Museum,2015/16,67057,Other
Sir John Soane's Museum,2016/17,55893,Other
Sir John Soane's Museum,2017/18,54894,Other
Sir John Soane's Museum,2018/19,59902,Other
Sir John Soane's Museum,2019/20,44765,Other
Sir John Soane's Museum,2020/21,1943,Other
Sir John Soane's Museum,2021/22,42266,Other
Sir John Soane's Museum,2022/23,66893,Other
Sir John Soane's Museum,2023/24,77390,Other
Tate Gallery Group,2008/09,3479194,Other
Tate Gallery Group,2009/10,2853173,Other
Tate Gallery Group,2010/11,2780458,Other
Tate Gallery Group,2011/12,2432295,Other
Tate Gallery Group,2012/13,3064389,Other
Tate Gallery Group,2013/14,2562490,Other
Tate Gallery Group,2014/15,3611121,Other
Tate Gallery Group,2015/16,3110511,Other
Tate Gallery Group,2016/17,3894359,Other
Tate Gallery Group,2017/18,3583704,Other
Tate Gallery Group,2018/19,3844755,Other
Tate Gallery Group,2019/20,3846828,Other
Tate Gallery Group,2020/21,524001,Other
Tate Gallery Group,2021/22,2563406,Other
Tate Gallery Group,2022/23,3590511,Other
Tate Gallery Group,2023/24,3259431,Other
Total,2008/09,18118000,Other
Total,2009/10,18227000,Other
Total,2010/11,17856000,Other
Total,2011/12,16834000,Other
Total,2012/13,17336000,Other
Total,2013/14,17796000,Other
Total,2014/15,17717000,Other
Total,2015/16,17673000,Other
Total,2016/17,17627000,Other
Total,2017/18,16849000,Other
Total,2018/19,17978000,Other
Total,2019/20,15534000,Other
Total,2020/21,2024000,Other
Total,2021/22,12571000,Other
Total,2022/23,16727000,Other
Total,2023/24,15860000,Other
Tyne and Wear Museums,2008/09,-1412296574625,Other
Tyne and Wear Museums,2009/10,-921309203013962,Other
Tyne and Wear Museums,2010/11,-493131739587019,Other
Tyne and Wear Museums,2011/12,705044,Other
Tyne and Wear Museums,2012/13,676771,Other
Tyne and Wear Museums,2013/14,818299,Other
Tyne and Wear Museums,2014/15,820929,Other
Tyne and Wear Museums,2015/16,0,Other
Tyne and Wear Museums,2016/17,0,Other
Tyne and Wear Museums,2017/18,0,Other
Tyne and Wear Museums,2018/19,0,Other
Tyne and Wear Museums,2019/20,0,Other
Tyne and Wear Museums,2020/21,0,Other
Tyne and Wear Museums,2021/22,0,Other
Tyne and Wear Museums,2022/23,0,Other
Tyne and Wear Museums,2023/24,0,Other
Victoria and Albert Museum,2008/09,1292002,Other
Victoria and Albert Museum,2009/10,1154050,Other
Victoria and Albert Museum,2010/11,1456687,Other
Victoria and Albert Museum,2011/12,1450720,Other
Victoria and Albert Museum,2012/13,1727657,Other
Victoria and Albert Museum,2013/14,1455644,Other
Victoria and Albert Museum,2014/15,1188204,Other
Victoria and Albert Museum,2015/16,1723282,Other
Victoria and Albert Museum,2016/17,1572772,Other
Victoria and Albert Museum,2017/18,1863608,Other
Victoria and Albert Museum,2018/19,2064722,Other
Victoria and Albert Museum,2019/20,1607106,Other
Victoria and Albert Museum,2020/21,118272,Other
Victoria and Albert Museum,2021/22,977193,Other
Victoria and Albert Museum,2022/23,1551100,Other
Victoria and Albert Museum,2023/24,1835900,Other
Wallace Collection,2008/09,194107,Other
Wallace Collection,2009/10,185823,Other
Wallace Collection,2010/11,191551,Other
Wallace Collection,2011/12,247360,Other
Wallace Collection,2012/13,209198,Other
Wallace Collection,2013/14,221203,Other
Wallace Collection,2014/15,235311,Other
Wallace Collection,2015/16,246254,Other
Wallace Collection,2016/17,230213,Other
Wallace Collection,2017/18,256674,Other
Wallace Collection,2018/19,281796,Other
Wallace Collection,2019/20,315033,Other
Wallace Collection,2020/21,22737,Other
Wallace Collection,2021/22,134768,Other
Wallace Collection,2022/23,200687,Other
Wallace Collection,2023/24,200261,Other
