Museum Name,Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
National Gallery,December,410000,297000,473000,285000,350000,387000,372000,508000,395000,459000,596000,446337,505880,408841,530125
National Gallery,January,402000,291000,435000,251000,340000,370000,422000,530000,413000,427000,536000,434289,491383,394954,0
National Gallery,February,342000,316000,324000,286000,339000,371000,407000,414000,494000,493000,475000,564105,471899,478465,0
National Gallery,March,507000,395000,414000,389000,466000,411000,453000,443000,692000,551000,576000,578834,526341,437032,0
Natural History Museum  Total,April,334563,317159,427859,377222,381344,375266,473832,435006,563292,507818,535622,509192,436803,414546,499161
Natural History Museum  Total,May,224639,266981,289375,302140,315724,302056,363554,347975,371562,467023,456755,477414,365201,347883,424491
Natural History Museum  Total,June,241971,259160,235277,235274,244244,249596,346115,368839,397215,407379,423197,405309,356587,329714,395371
Natural History Museum  Total,July,346481,274360,368301,362649,370435,357792,461953,467542,438993,531883,528358,535820,420078,428928,503986
Natural History Museum  Total,August,444688,307145,382191,451542,494078,504349,592534,581974,538208,587485,603963,607731,485832,457134,619834
Natural History Museum  Total,September,215577,193935,260544,230292,234777,313639,318902,359336,364002,385800,365915,398604,318413,343974,405607
Natural History Museum  Total,October,328146,286137,350074,313229,308171,435690,448191,461111,465167,474547,455093,503202,438062,439982,520751
Natural History Museum  Total,November,192761,233607,247359,242251,239766,350938,321562,343098,409545,395478,387150,354632,350801,362140,381659
Natural History Museum  Total,December,187571,264335,268148,246893,245978,353290,299451,359332,388126,390798,367438,332606,367769,387044,424729
Natural History Museum  Total,January,223862,265744,261511,254620,292456,332557,360178,384493,373745,433845,400768,363712,367032,339191,0
Natural History Museum  Total,February,284144,342435,343704,349749,344744,417306,432564,424552,485675,505451,458190,426559,375208,436238,0
Natural History Museum  Total,March,304075,297719,319258,379059,341543,386088,390811,413723,492819,484032,453499,437016,324657,425882,0
Royal Museums Greenwich,April,159821,122806,166096,189520,154729,222058,224917,169121,196325,241926,263261,221937,194406,296681,238587
Royal Museums Greenwich,May,148925,152802,142350,152341,219292,264900,247369,152962,211140,220841,207777,223706,211353,229688,243226
Royal Museums Greenwich,June,146621,136695,140324,139657,196062,217987,234666,149098,204040,215888,195547,195548,201846,220213,217095
Royal Museums Greenwich,July,204320,189436,212171,220439,253136,315371,340032,222227,110550,271527,274210,256257,281303,312130,303144
Royal Museums Greenwich,August,198388,196001,218073,231700,308931,379699,367379,225874,120382,309642,301569,316879,315260,327041,332485
Royal Museums Greenwich,September,111112,121580,127715,136929,154027,184619,191569,137796,140835,181648,186856,175760,173639,190207,202870
Royal Museums Greenwich,October,113279,148604,125402,136794,179819,186399,215455,175369,185885,183695,195685,206563,231076,217521,218164
Royal Museums Greenwich,November,71910,89541,88846,92879,104292,101225,109557,114862,149572,141732,127062,130511,149001,149172,154497
Royal Museums Greenwich,December,73589,68277,84033,84815,97247,94937,77267,96284,121309,129794,119809,132733,149354,131117,143887
Royal Museums Greenwich,January,76891,74300,85067,98152,110971,101287,119804,124574,132126,164439,140492,145611,157474,147273,0
Royal Museums Greenwich,February,85369,86406,99173,128389,129714,129970,147412,136214,161820,189714,150302,177127,176233,173376,0
Royal Museums Greenwich,March,127753,106594,126425,154199,160024,180334,157736,154157,195215,224644,168281,220545,199736,165731,0
National Museums Liverpool,April,134962,104430,168491,180892,198561,208255,205680,195080,402249,261060,243679,251703,250090,305242,370144
National Museums Liverpool,May,114058,147284,124682,170935,236068,190732,197656,196765,296361,269430,247080,275151,247267,250776,379841
National Museums Liverpool,June,152568,170482,136559,176509,238634,168239,204408,198591,303098,219047,208786,209712,254485,236239,322792
National Museums Liverpool,July,156014,173873,168150,208610,362629,232770,283980,391545,336076,257056,282554,316821,336443,331995,418599
National Museums Liverpool,August,217766,238626,223617,274993,377971,307264,348686,477104,414763,336866,343603,362499,430389,425533,558805
National Museums Liverpool,September,115817,117167,123032,185698,207187,160801,185963,271924,236268,179816,194205,211341,252434,248649,392454
National Museums Liverpool,October,154486,147622,162793,188370,263673,242223,285621,330781,280311,244300,253732,260989,288661,278319,443207
National Museums Liverpool,November,88077,86210,105024,123859,155686,141604,178903,178413,188169,171780,173798,163711,192945,201687,199621
National Museums Liverpool,December,64161,60749,60034,75816,107108,92519,111218,159971,143881,129666,125156,136778,160578,149777,151218
National Museums Liverpool,January,73868,74267,89847,127443,143466,100999,156045,202268,153952,154237,145374,159681,154229,205739,0
National Museums Liverpool,February,128157,146942,176804,232169,220804,215382,243367,301093,284212,257732,236462,252489,242725,342567,0
National Museums Liverpool,March,137656,140480,155032,229572,178102,212193,229738,281460,237963,229194,199872,247112,222982,329148,0
Science Museum Group  Total,April,314468,306939,484045,371967,391027,425291,399229,439381,535826,509250,534148,474823,479906,514882,560984
Science Museum Group  Total,May,258425,302964,347358,386758,356247,368691,325394,389740,339740,440069,463282,452475,382992,388816,370195
Science Museum Group  Total,June,316008,304215,277929,329664,283732,305654,297803,402019,461612,400376,372355,370280,371039,340079,341607
