accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning
LOAN:MAKOWER.24:1-2016,2016.0,O1407602,Sculpture,Sculpture,London,Nan Nan Liu,designer and maker,2015,2024NX9357,silver,forging,,"Silver, Room 68",False,False
C.205&A-1984,1984.0,O250154,Sculpture,,Great Britain,"Best-Devereux, Tatiana",makers,1983-1984,,,,20TH GB,"Glass, Room 131",False,False
M.8-2024,2024.0,O1769534,Sculpture,Chockstones,Eryri National Park,Rauni Higson,designed and made,2021,,sterling silver,casting,,"Silver, Room 66",False,False
IS.174-1991,1991.0,O24959,Sculpture,Sculpture,Cambodia,Unknown,,12th century,2006AU3440,sandstone,carving,Angkorian,"The Himalayas and South-East Asia, Room 47a",False,False
IS.140-1961,1961.0,O82516,Sculpture,sculpture,"Dvaravati kingdom, Thailand",Unknown,,7th century to 8th century,2006BF2729,sandstone,Sculpture,Dvaravati,"The Himalayas and South-East Asia, Room 47a",False,False
FE.14-1989,1989.0,O24669,Sculpture,Untitled Sculpture,Seto,"Kato, Kiyoyuki",artist,1980,2010EL2222,stoneware,Slab building,Showa,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
111-1908,1908.0,O93018,Sculpture,Bishop saint,Ulm,Unknown,,ca. 1470 - ca. 1480,2010EM3108,limewood,carving,,"Sculpture 1300-1600, Room 27",False,False
A.5-2023,2023.0,O1751729,Sculpture,Bow Wave,Italy,"Halima Cassell, MBE, FRSS",made,2012,2023NN7798,Carrara marble,Carving,contemporary,"Sculpture, Room 21, The Dorothy and Michael Hintze Galleries",False,False
FE.16A&B-1989,1989.0,O24670,Sculpture,Sculpture in the Form of a Blade,Japan,"Fukami, Sueharu",artist,1988,2006AM8148,wood,,Showa,"Japan, Room 45, The Toshiba Gallery",False,False
FE.2-1989,1989.0,O24039,Sculpture,Untitled Sculpture,Kyoto,"Hayashi, Yasuo",maker,1988,2006AN0662,stoneware,glazed,Showa,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
M.3-2013,2013.0,O1262017,Sculpture,Every Man and Every Woman is a Star,England,"Clark, Michael",designer,2008-2009,2013GH8703,diamond,stone setting,,"Jewellery, Rooms 91, The William and Judith Bollinger Gallery",False,False
C.25-1980,1980.0,O19123,Sculpture,Extended dish: Seferis Series No. 1,England,"Baldwin, Gordon",maker,1980,2006AN8408,Earthenware,glazed,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
LOAN:MAKOWER.26-2024,2024.0,O1775552,Sculpture,I hear you breathing,London,Naama Haneman,designed and made,2024,2024NX6325,sterling silver,raising,,"Silver, Room 68",False,False
61-1882,1882.0,O93174,Column,Column,Florence,Florentine sculpture workshop,maker,ca. 1450-1475,2009CR7695,marble,,,"Medieval & Renaissance, Room 64, The Wolfson Gallery",False,False
IS.64-1993,1993.0,O24964,Sculpture,Sculpture,,Unknown,,late 11th century-12th century,2006AT8928,bronze,casting,Baphuan or later,"The Himalayas and South-East Asia, Room 47a",False,False
IM.41-1939,1939.0,O25044,Sculpture,Sculpture,Sahri Bahlol,Unknown,,5th century - 6th century,2006AT8939,schist,,post-Gandharan style,"The Himalayas and South-East Asia, Room 47a",False,False
CIRC.466&A-1970,1970.0,O19120,Sculpture,Seascape,Eton,"Baldwin, Gordon",maker,1969,2006AN7547,Earthenware,handbuilding,,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
CIRC.453-1974,1974.0,O6854,Sculpture,Puzzle,Sweden,"Vallien, Bertil",designer,1974,2006AV1356,,,20TH CONT,"Glass, Room 131",False,False
FE.5-2010,2010.0,O1174720,Sculpture,Untitled Sculpture,Gifu (prefecture),"Imura, Toshimi",maker,2009,2010ED8333,Earthenware,Burnishing,Heisei,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
C.41&A-1988,1988.0,O249957,Sculpture,Snow Castle,Finland,"Toikka, Oiva",designers,1980,,,,20TH CONT,"Glass, Room 131",False,False
CIRC.830-1968,1968.0,O19518,Sculpture,Sculptural Form,Great Britain,"Lowndes, Gillian",maker,1968,2006AN7567,Stoneware,glazing,,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
IS.213-2006,2006.0,O127873,Sculpture,Seated Buddha,Mathura,Unknown,,early 3rd century,2007BL4483,sandstone,,Kushan,"Buddhism, Room 47f, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
C.107-2013,2013.0,O1265535,Sculpture,The Severed Head,Glasgow,"Rigler, James",maker,2013,2021MX2030,Earthenware,moulded,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
FE.67:1-2023,2023.0,O1742704,Sculpture,The Two of Us No.9,China,,,2021,2025PG3804,,,,"China, Room 44",False,False
IS.88-1993,1993.0,O24950,Sculpture,Standing Krishna,Cambodia,Unknown,,6th century,2011EN9689,,sculpture,Pre-Angkorian,"The Himalayas and South-East Asia, Room 47a",False,False
M.50-2023,2023.0,O1742682,Ever Flowing Sculpure,Ever Flowing Sculpture,London,Jessica Jue,designed and made,2022,2023NN2537,sterling silver,raising,,"China, Room 44",False,False
110-1878,1878.0,O70318,Sculpture,Mary Salome and Zebedee,Würzburg,"Riemenschneider, Tilman",sculptor,ca. 1505-1510,2006AN4588,limewood,carving,,"Medieval & Renaissance, Room 64, The Wolfson Gallery",False,False
"A.8:1,2-2015",2015.0,O1329271,Sculpture,The Campbell Sisters Dancing a Waltz,Florence,Lorenzo Bartolini,sculptor,1821-1822,2015HU3072,Marble,Carved,,"British Galleries, Room 119",False,False
A.2-2020,2020.0,O1543710,Sculpture,Echoes of Amphora: Column Vessel I/20,London,Eleanor Lakelin,made,2020,2020MU2253,horse chestnut,turning,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
C.55-2018,2018.0,O1435729,Sculpture,Dichotomy,Edinburgh,"Morgan, Harry",artist,2018,2018KY4835,concrete,casting,,"Contemporary Glass, Room 129, The Märit Rausing Gallery",False,False
C.206-1993,1993.0,O155417,Sculpture,Dark Rocking Piece,England,"Baldwin, Gordon",maker,1992,2006BB6345,earthenware,handbuilding,,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
IS.11-1989,1989.0,O24765,Sculpture,Sculpture,Java,Unknown,,15th century,2006BF2300,stone,,Majapahit,"The Himalayas and South-East Asia, Room 47a",False,False
IS.33-1988,1988.0,O24710,Sculpture,Sculpture,Cambodia,Unknown,,First half of 10th century,2006AT8564,bronze,,Koh Ker,"The Himalayas and South-East Asia, Room 47a",False,False
IS.24-1988,1988.0,O68753,Sculpture,Sculpture,Thailand,Unknown,,8th Century,2006BF1873,bronze,lost wax,,"The Himalayas and South-East Asia, Room 47a",False,False
C.364-1993,1993.0,O154940,Sculpture,Lust,England,"Tchalenko, Janice",maker,1993,2006BA0612,porcelain,modelled,,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
C.365-1993,1993.0,O154937,Sculpture,Anger,England,"Tchalenko, Janice",maker,1993,2006BA0611,stoneware,modelled,,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
C.4-1993,1993.0,O5059,Sculpture,Arcus 1,Zelezny Brod,"Libensky, Stanislav",maker,1991,2006AT3716,glass,moulded,,"Contemporary Glass, Room 129, The Märit Rausing Gallery",False,False
"C.366:1, 2-1993",1993.0,O154935,Sculpture,Sloth,England,"Tchalenko, Janice",maker,1993,2006BA0610,earthenware,glazed,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
FE.77-2025,2025.0,O1785674,Sculpture,,,,,,,,,,"Ceramics, Room 146",False,False
IS.62-1993,1993.0,O24968,Sculpture,Sculpture,,Unknown,,11th century-12th century,2006AT8961,bronze,casting,Baphuan,"The Himalayas and South-East Asia, Room 47a",False,False
C.11-2003,2003.0,O82584,Sculpture,King Vulture,Meissen,"Kändler, Johann Joachim",modeller,ca. 1731,2006AH4125,,,,"Europe 1600-1815, Room 3",False,False
A.1-1988,1988.0,O115692,Sculpture,Head of a Bearded Man,Saint-Gilles-du-Gard,Unknown,,1150-1175,2006AC7017,limestone,carving,,"Medieval & Renaissance, Room 8, The William and Eileen Ruddock Gallery",False,False
M.15-2024,2024.0,O1778097,Sculpture,Innatus Forma,Nova Scotia,Kye-Yeon Son,designed and made,2022,2024NX1962,steel,welded,,"Silver, Room 66",False,False
C.54-2023,2023.0,O1761298,Sculpture,,,,,,2024NR5426,,,,"Contemporary Glass, Room 129, The Märit Rausing Gallery",False,False
C.17-2020,2020.0,O1533048,Sculpture,,Cumbria,"Brachlow, Heike",made,2019,2021NB7387,glass,,,"Contemporary Glass, Room 129, The Märit Rausing Gallery",False,False
C.99-1982,1982.0,O6081,Sculpture,Free Glass,Netherlands,"Valkema, Sybren",artist,1981,,glass,blown,20TH CONT,"Glass, Room 131",False,False
C.51-1979,1979.0,O153420,Sculpture,Primario Sconvolto-dado,Italy,"Zauli, Carlo",maker,1978,2009CB8473,stoneware,glazed,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
LOAN:MANCITYAG.4-2003,2003.0,O299634,Sculpture,,,,,,,,,,"Paintings, Room 81, The Edwin and Susan Davies Galleries",False,False
IS.14-1948,1948.0,O24854,Sculpture,Sculpture,Pakistan,Unknown,,5th century-6th century,2006AT8561,schist,carving,gandharan,"The Himalayas and South-East Asia, Room 47a",False,False
FE.20-2016,2016.0,O1343086,Sculpture,Trace,Jingdezhen,"Liu, Jianhua",artist,2011,2016JD5848,porcelain,,,"Ceramics, Room 146",False,False
C.50-1979,1979.0,O153424,Sculpture,Dilatazione Tensionale di una Sfera,Italy,"Zauli, Carlo",maker,1972,2009CR0382,stoneware,glazed,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
FE.59-2023,2023.0,O1722035,Sculpture,Loop No.3,United States,,,2022,2024NW1389,,,,"Ceramics, Room 146",False,False
FE.214-2022,2022.0,O1681223,Sculpture,Chewing over the Past,Kanagawa,Rusu AKi,artist,2018,2024NW7959,iron,,,"Japan, Room 45, The Toshiba Gallery",False,False
C.239-1993,1993.0,O3589,Sculpture,Zigzag,New York,"Seager, Harry",glass-maker,1974,2015HM8436,glass,cut,20TH GB,"Glass, Room 131",False,False
FE.23-2016,2016.0,O1343090,Sculpture,Trace,Jingdezhen,"Liu, Jianhua",artist,2011,2016JD5848,porcelain,,,"Ceramics, Room 141, The McAulay Gallery",False,False
FE.21-2016,2016.0,O1343087,Sculpture,Trace,Jingdezhen,"Liu, Jianhua",artist,2011,2016JD5848,porcelain,,,"Ceramics, Room 146",False,False
IM.169-1929,1929.0,O65831,Sculpture,Sculpture,Gandhara,Unknown,,4th century -5th Century,2011EV3953,,,,"The Himalayas and South-East Asia, Room 47a",False,False
C.368-1993,1993.0,O154931,Sculpture,Gluttony,England,"Tchalenko, Janice",maker,1993,2006BA0608,stoneware,glazed,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
C.18-2005,2005.0,O118186,Sculpture,Hlava,Nový Bor,"Roubicek, René",designer,1977,2006AY8682,,,,"Glass, Room 131",False,False
C.53&A&B-1988,1988.0,O167916,Sculpture,Sipulit,Helsinki,"Olin-Grönqvist, Gunvor",maker,ca. 1982-1984,2009CA4953,stoneware,incised,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
C.367-1993,1993.0,O154934,Sculpture,Envy,England,"Tchalenko, Janice",maker,1993,2006BA0609,earthenware,glazed,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
IS.68-1993,1993.0,O24949,Sculpture,Sculpture,,Unknown,,Late 6th century- early 7th century,2006AT8955,,,Pre-Angkorian,"The Himalayas and South-East Asia, Room 47a",False,False
C.72-2014,2014.0,O297848,Sculpture,Cross Head,Zelezny Brod,Stanislav Libenský,maker,1988,2012FP5513,glass,moulded,,"Contemporary Glass, Room 129, The Märit Rausing Gallery",False,False
CIRC.486-1974,1974.0,O19121,Bowl on base,Larger porcelain bowl on base about painting and sculpture,Eton,"Baldwin, Gordon",maker,1974,2006AN7519,Porcelain,throwing,,"Ceramics, Room 143, The Timothy Sainsbury Gallery",False,False
FE.22-2016,2016.0,O1343088,Sculpture,Trace,Jingdezhen,"Liu, Jianhua",artist,2011,2016JD5848,porcelain,,,"Ceramics, Room 146",False,False
FE.14-2016,2016.0,O1343079,Sculpture,Trace,Jingdezhen,"Liu, Jianhua",artist,2011,2016JD5848,porcelain,,,"Ceramics, Room 146",False,False
FE.15-2016,2016.0,O1343080,Sculpture,Trace,Jingdezhen,"Liu, Jianhua",artist,2011,2016JD5848,porcelain,,,"Ceramics, Room 146",False,False
FE.16-2016,2016.0,O1343082,Sculpture,Trace,Jingdezhen,"Liu, Jianhua",artist,2011,2016JD5848,porcelain,,,"Ceramics, Room 146",False,False
FE.17-2016,2016.0,O1343083,Sculpture,Trace,Jingdezhen,"Liu, Jianhua",artist,2011,2016JD5848,porcelain,,,"Ceramics, Room 146",False,False
FE.18-2016,2016.0,O1343084,Sculpture,Trace,Jingdezhen,"Liu, Jianhua",artist,2011,2016JD5848,porcelain,,,"Ceramics, Room 146",False,False
FE.19-2016,2016.0,O1343085,Sculpture,Trace,Jingdezhen,"Liu, Jianhua",artist,2011,2016JD5848,porcelain,,,"Ceramics, Room 146",False,False
FE.11-2016,2016.0,O1318373,Sculpture,Trace,Jingdezhen,"Liu, Jianhua",artist,2011,2016JD5848,porcelain,,,"Ceramics, Room 146",False,False
C.75-2014,2014.0,O1278147,Sculpture,Bottle Green Republic,Cologne,"Deacon, Richard",maker,2009,2014GY3056,ceramic,glazed,,"Ceramics, Room 141, The McAulay Gallery",False,False
C.6-2018,2018.0,O1435338,Sculpture,Stone V,Seattle,"Wåhlström, Ann",,2017,2018LG3767,glass,Blown,,"Contemporary Glass, Room 129, The Märit Rausing Gallery",False,False
IS.57-1993,1993.0,O24723,Sculpture,Sculpture,,Unknown,,Late 12th century-13th century,2006AT8958,bronze,casting,Bayon,"The Himalayas and South-East Asia, Room 47a",False,False
FE.59-2025,2025.0,O1781385,Sculpture,,,,,,,,,,"Ceramics, Room 146",False,False
M.19-2025,2025.0,O1793788,Sculpture,Balance in Blue,Dublin,"Moore, Cecilia",designed and made,2020,2025PG1107,copper,raised,,"Metalware, Room 116, The Belinda Gentle Gallery",False,False
C.9:1-2004,2004.0,O98423,Sculpture,Alice,Amsterdam,"Meitner, Richard",artist,1999,2006AF2986,glass,lamp-working,,"Glass, Room 131",False,False
FE.60-2024,2024.0,O1784161,Sculpture,,Kasama,,,2024,2024NY4148,,,,"Japan, Room 45, The Toshiba Gallery",False,False
FE.691-2022,2022.0,O1722676,Sculpture,Listening to the Waves,Japan,"Sakiyama, Takayuki",artist,2022,2022NH0959,stoneware,,,"Ceramics, Room 141, The McAulay Gallery",False,False
FE.40-2024,2024.0,O1761937,Sculpture,Tsutsumimono 23Y-13,Kyoto,,,2023,2024NT5725,,,,"Japan, Room 45, The Toshiba Gallery",False,False
FE.52-2024,2024.0,O1771175,Sculpture,The Dancing Man,,,,,2025PH1254,,,,"China, Room 44",False,False
IM.73-1939,1939.0,O66208,Sculpture,Sculpture,,Unknown,,4th century - 5th Century,2006BC5338,stucco,modelling,,"The Himalayas and South-East Asia, Room 47a",False,False
A.18-2018,2018.0,O1454796,Sculpture,,Madrid,,,2018,2019LH6813,,,,"Cast Courts, Room 46, The Chitra Nirmal Sethia Gallery",False,False
A.19-2018,2018.0,O1454797,Sculpture,,Madrid,,,2018,2019LH6811,Glass,,,"Cast Courts, Room 46, The Chitra Nirmal Sethia Gallery",False,False
IM.3-1931,1931.0,O25038,Sculpture,Head of the Buddha,Pakistan,Unknown,,4th century-5th century,2006AP9237,,,Gandhara style,"Buddhism, Room 20, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
FE.29-1984,1984.0,O24286,Sculpture,Untitled Sculpture,Mashiko,"Okada, Kenzo",maker,about 1983,2010EB9243,stoneware,moulded,Showa,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
IM.62-1927,1927.0,O82514,Sculpture,Head of Buddha,"Lopburi, Thailand",Unknown,,13th century,2006BF2728,Sandstone,Sculpture,,"Buddhism, Room 47f, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
IS.34-1988,1988.0,O24974,Sculpture,Sculpture,,Unknown,,Mid-12th century,2006AT8563,bronze,,Angkor Wat,"The Himalayas and South-East Asia, Room 47a",False,False
FE.42-2014,2014.0,O1300033,Sculpture,Ink 6,Wolverhampton,"Xue, Shelly (Dr)",artist,2005,2015HM3369,glass,Kiln formed,,"China, Room 44",False,False
FE.13:1-1984,1984.0,O25663,Sculpture,Cloud Image,Kyoto,"Suzuki, Osamu (Ji)",maker,1981,2006BE6400,stoneware,tooled,Showa,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
FE.41-2014,2014.0,O1300031,Sculpture,Wordless Stele II,Shanghai,"Wang, Qin (Mr)",artist,2008,2015HM9729,glass,mould-melted,,"China, Room 44",False,False
FE.52-2018,2018.0,O1438679,Sculpture,Paper No.1,Dehua,"Su, Xianzhong",,2017,2018KV8592,porcelain,,,"China, Room 44",False,False
IS.15-1968,1968.0,O82984,Sculpture,sculpture,"Lopburi, Thailand,",Unknown,,early 13th century,,,,,"The Himalayas and South-East Asia, Room 47a",False,False
C.370-1993,1993.0,O154919,Sculpture,Avarice,England,"Tchalenko, Janice",maker,1993,2006BA0606,earthenware,glazed,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
A.1-2017,2017.0,O1361752,Sculpture,Ranieri Tommasi,Cortona,"Lint, Michele Enrico van",signed,1801,2023NP1387,Terracotta,Modelled,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
C.1-2000,2000.0,O34450,Sculpture,Windfall,Wolverhampton,"Cummings, Keith",artist,1998,2006AM2726,glass,,,"Glass, Room 131",False,False
FE.75-2023,2023.0,O1742787,Sculpture,Flower of Life No.1,Japan,,,2021,2024NW1391,lacquer,,,"China, Room 44",False,False
C.201-1991,1991.0,O3338,Sculpture,Fort,Prague,"Masitova, Ivana",artist,1988,2006AT2640,,,20TH CONT,"Glass, Room 131",False,False
FE.57-2023,2023.0,O1731010,Sculpture,Memory,Tokyo,Kumai Kyoko,artist,2017,2023NK6179,,,,"Japan, Room 45, The Toshiba Gallery",False,False
C.40-1988,1988.0,O4699,Sculpture,Year cubes,Finland,"Toikka, Oiva",artist,1977-1987,2006AV1353,,,20TH CONT,"Glass, Room 131",False,False
"C.49:1, 2-2019",2019.0,O1507003,Sculpture,Natura Morta 8,London,"Casasempere, Fernando",maker,2018,2019MH7763,porcelain,,,"Ceramics, Room 141, The McAulay Gallery",False,False
FE.54-1993,1993.0,O485286,Sculpture,Ring,Japan,"Makoto, Hatori",maker,1993,2010EC2345,stoneware,glazed,Heisei,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
IS.71-1880,1880.0,O64195,Sculpture,Purneshvari,Bihar,Unknown,,12th century,2016JK5876,,carving,Pala,"Buddhism, Room 18, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
C.52-1988,1988.0,O168034,Sculpture,Omenanlohko,Helsinki,"Olin-Grönqvist, Gunvor",maker,1986,2009CA3367,stoneware,incised,,"Ceramics, Room 140, Factory Ceramics",False,False
S.2630-1986,1986.0,O110100,Sculpture,,Great Britain,"Binney, Hibbert C.",designer and maker,1904,2025PD9076,Teak,,,In store,False,False
CIRC.262-1963,1963.0,O249629,Sculpture,Paader's ice,Finland,"Wirkkala, Tapio",designers,1960,2006AV2359,,,20TH CONT,"Glass, Room 131",False,False
IS.24-1951,1951.0,O25060,Sculpture,Sculpture,Gandhara,Unknown,,1st Century BC - 1st Century AD,2010EA0653,terracotta,,Hellenistic period,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
C.204-1991,1991.0,O3370,Sculpture,Greenpiece,Scotland,"Flavell, Ray",maker,1991,2006AU4516,,,20TH GB,"Glass, Room 131",False,False
IS.144-1953,1953.0,O65800,Sculpture,Sculpture,Pakistan,Unknown,,c.3rd Century,2006AW1717,terracotta,,Gandhara style,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
C.98-1986,1986.0,O6072,Sculpture,Two Cats,Prague,"Zamecnikova, Dana",maker,1984,2006AT2651,,,20TH CONT,"Glass, Room 131",False,False
C.8-1994,1994.0,O5958,Sculpture,Life Cycles,Stoke-on-Trent,"Swinburne, Elizabeth",glass-maker,1991,2006AW2622,glass,sand cast,20TH GB,"Glass, Room 131",False,False
IS.41-1994,1994.0,O68516,Sculpture,Sculpture,Shan,Unknown,,17th century-18th century,2011EN9696,bronze,,,"The Himalayas and South-East Asia, Room 47a",False,False
CIRC.57 to DD-1970,1970.0,O19332,Sculpture,Large white chest of drawers,,"Godfrey, Ian",makers,1969-70,2006AN7549,Stoneware,,,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
C.169-1985,1985.0,O343128,Sculpture,,Tours,,,ca.1860 - 1870,2009CC7134,earthenware,modelled,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
C.70-1982,1982.0,O5617,Sculpture,Belfast,London,"Rainey, Clifford",artist,1981,2006AX4810,,,20TH GB,"Glass, Room 131",False,False
IS.20-1951,1951.0,O24898,Sculpture,Sculpture,Sari Dheri,Unknown,,2nd century to 5th century,2010EA0646,terracotta,,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
FE.563-1992,1992.0,O129109,Sculpture,Geological Age V,Kyoto,"Akiyama, Yo",made,1992,2006AT8245,earthenware,unglazed,Heisei,"Ceramics, Room 145",False,False
FE.33-2024,2024.0,O1770613,Sculpture,,Germany,Eliza Au,,2023,2025PH0186,stoneware,,,"China, Room 44",False,False
C.7-2010,2010.0,O1193729,Sculpture,Resting,Roskilde (city),"Bødker, Lene",maker,2007,2011EM6883,glass,lost-wax process,,"Contemporary Glass, Room 129, The Märit Rausing Gallery",False,False
C.1-2020,2020.0,O1530652,Sculpture,Hermaphroditic Font,s Hertogenbosch,"Pope, Nicholas",maker,1995,2020MN5740,earthenware,,,"Ceramics, Room 141, The McAulay Gallery",True,False
FE.195-2011,2011.0,O1224888,Sculpture,Form - Series I,South Korea,"Guac, Roh Hoon",made,2005,2011FC0508,,,contemporary,"Ceramics, Room 141, The McAulay Gallery",False,False
FE.25-2023,2023.0,O1733511,Sculpture,Heart Felt Love 2,,,,,,Stainless steel,,,"China, Room 44",False,False
FE.26-2023,2023.0,O1733512,Sculpture,,,,,,,Stainless steel,,,"China, Room 44",False,False
FE.102-2021,2021.0,O1673867,Sculpture ,Wing of Foliage – Bend,Kanazawa,"Muramoto, Shingo",artist,2020,2022NF9262,Lacquer,,,"Japan, Room 45, The Toshiba Gallery",False,False
FE.61-2024,2024.0,O1786611,Sculpture,Heart on Wave,Kasama,"Kawai, Kazuhito",artist,2023,2024NY7471,,,,"Japan, Room 45, The Toshiba Gallery",False,False
IM.39-1922,1922.0,O63946,Sculpture,"Bodhisattva, probably Maitreya, seated in Royal Ease.",Burma,Unknown,,8-9th century,2006AF3494,copper alloy,amalgam gilding,Pyu,"The Himalayas and South-East Asia, Room 47a",False,False
"C.369:1, 2-1993",1993.0,O154927,Sculpture,Pride,England,"Tchalenko, Janice",maker,1993,2006BA0607,stoneware,glazed,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
FE.39-2024,2024.0,O1771102,Sculpture,,United Kingdom,,,2003,2024NW1375,,,,"China, Room 44",False,False
C.49-2005,2005.0,O119437,Sculpture,Rode Rat,Netherlands,"Smit, Carolein",maker,2004,2006AY0295,,,,"Ceramics, Room 141, The McAulay Gallery",False,False
CIRC.214-1971,1971.0,O6410,Sculpture,,Great Britain,"Herman, Sam",artist,1970,2006AU7318,,,20TH GB,"Glass, Room 131",False,False
A.5-2009,2009.0,O1136044,Statuette,The Queen of Dreams,London,"Williams, Lucy Gwendolen",sculptor,1905 - 1906,2012FV0734,Spelter,Cast,The New Sculpture,"Sculpture, Room 21, The Dorothy and Michael Hintze Galleries",False,False
IS.47-1951,1951.0,O24851,Sculpture,Sculpture,Pakistan,Unknown,,3rd century BC-1st century BC,2010EA0654,terracotta,,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
A.1-2000,2000.0,O40943,Sculpture,The Three Graces,London,"Nollekens, Joseph",sculptor,ca. 1802,2006AM7780,terracotta,modelled,,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
"C.19:1, 2-1996",1996.0,O10629,Sculpture,Winged Head I,Bohemia,"Libensky, Stanislav",designer,1962,2024NW8619,Glass,,,"Glass, Room 131",False,False
FE.76-2025,2025.0,O1796336,Sculpture,,,,,,2025PH1252,ramie,,,"China, Room 44",False,False
C.160-2021,2021.0,O1458765,Sculpture,,Los Angeles,"Voulkos, Peter",maker,1957-58,2018LG3866,stoneware,,,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
FE.70-2024,2024.0,O1781329,Sculpture,Contraditory Flow,,,,2023,,,,,"Ceramics, Room 146",False,False
C.3-2007,2007.0,O141868,Sculpture,"Space Between, 9/05",Thebarton,"Loughlin, Jessica",maker,2005,2013GV6477,glass,kiln formed,,"Contemporary Glass, Room 129, The Märit Rausing Gallery",False,False
C.159-2021,2021.0,O1458764,Sculpture,Pinatubo,New Jersey,"Voulkos, Peter",maker,1994,2018LG3869,stoneware,,,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
C.178-1986,1986.0,O3058,Sculpture,Glas är Vätska (Glass is liquid),Kosta,"Wärff, Göran",,1983,,,,20TH CONT,"Glass, Room 131",False,False
C.818-1917,1917.0,O150329,Sculpture,Martin Ware,Southall,"Martin, Robert Wallace",designer,08/1881,2009CB8620,Stoneware,modelled,,"Ceramics, Room 143, The Timothy Sainsbury Gallery",False,False
"C.406:1, 2-2017",2017.0,O1383101,Sculpture,Ravine,Caterham,"Harrington, Joseph",made,2015,2017JW0501,glass,,,"Contemporary Glass, Room 129, The Märit Rausing Gallery",False,False
C.1-2018,2018.0,O1435329,Sculpture,,Breda,Carolein Smit,,2010,,Earthenware,glazed,,"Ceramics, Room 141, The McAulay Gallery",False,False
A.4-2015,2015.0,O1290852,Sculpture,,London,"da Rovezzano, Benedetto",Maker,1524-1529,2017JU7663,copper,cast,Renaissance,"Medieval & Renaissance, Room 63, The Edwin and Susan Davies Gallery",False,False
A.3-2015,2015.0,O1290850,Sculpture,,London,"da Rovezzano, Benedetto",Sculptor,1524-1529,2017JU7669,Copper,casting,Renaissance,"Medieval & Renaissance, Room 63, The Edwin and Susan Davies Gallery",False,False
A.1-2015,2015.0,O1278467,Sculpture,,London,"da Rovezzano, Benedetto",Sculptor,1524-1529,2017JU8763,copper,casting,Renaissance,"Medieval & Renaissance, Room 63, The Edwin and Susan Davies Gallery",False,False
C.141-1988,1988.0,O161543,Sculpture,Bølge og fugl,Oslo,"Christensen, Kari",maker,1984,2006BF5764,porcelain,incised,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
A.2-2015,2015.0,O1278468,Sculpture,,London,Benedetto da Rovezzano,sculptor,1524-1529,2017JU7328,Copper,casting,Renaissance,"Medieval & Renaissance, Room 63, The Edwin and Susan Davies Gallery",False,False
A.5-1957,1957.0,O96374,Statue,Le Genie de la Sculpture (Allegory of Sculpture),Paris,"Falconet, Étienne-Maurice",sculptor,ca. 1746,2006AF5033,marble,carved,,"Europe 1600-1815, Room 4",False,False
C.44&A-1988,1988.0,O249946,Sculpture,Pyramidi,Finland,"Orvola, Heikki",designers,1985,,,,20TH CONT,"Glass, Room 131",False,False
