Museum number,Production date,prod_date_primary,start_year,end_year,midpoint_year,date_parse_status,Culture,Production place,Find spot
"No: 2009,5007.1",475BC-300BC,475bc-300bc,-475.0,-300.0,-388.0,parsed_bc_range,Cypro-Classical,Made in: Cyprus,Excavated/Findspot: Cyprus
"No: 1760,0919.1",2ndC BC,2ndcbc,-200.0,-101.0,-150.0,parsed_century_single,Hellenistic,,Found/Acquired: Smyrna (historic) (probably)
"No: 1859,1226.90",325BC-275BC (circa),325bc-275bc,-325.0,-275.0,-300.0,parsed_bc_range,Hellenistic,,Excavated/Findspot: Temple of Demeter (Knidos)
"No: 1812,0615.4",2ndC,2ndc,101.0,200.0,150.0,parsed_century_single,Roman,,Found/Acquired: Italy
No: EA1785,1850BC-1830BC (c.),1850bc-1830bc,-1850.0,-1830.0,-1840.0,parsed_bc_range,12th Dynasty,,Found/Acquired: Abydos (?)
No: EA37896,,,,,,no_date_text,11th Dynasty,,Excavated/Findspot: Thebes (historic - Upper Egypt)
"No: 1873,0320.51",450BC (circa),450bc,-450.0,-450.0,-450.0,parsed_bc_single,Cypro-Classical I,Made in: Cyprus,Excavated/Findspot: Sanctuary of Apollo (Idalion)
"No: 1870,0320.201",50 (circa),50,50.0,50.0,50.0,parsed_ad_single,Roman,,Excavated/Findspot: Sanctuary of Athena Polias
No: 90929,2500BC,2500bc,-2500.0,-2500.0,-2500.0,parsed_bc_single,Early Dynastic III,,Excavated/Findspot: Tello ((?))
"No: 1815,1020.46",150BC-100BC (perhaps),150bc-100bc,-150.0,-100.0,-125.0,parsed_bc_range,Hellenistic,,Excavated/Findspot: Temple of Apollo (Bassai)
"No: 1972,0801.74",350BC-300BC (circa),350bc-300bc,-350.0,-300.0,-325.0,parsed_bc_range,Hellenistic,,Excavated/Findspot: Temple of Demeter (Knidos)
"No: 1873,0320.70",560BC-550BC,560bc-550bc,-560.0,-550.0,-555.0,parsed_bc_range,,Made in: Cyprus,Excavated/Findspot: Idalion
