Museum number,Production date,prod_date_primary,start_year,end_year,midpoint_year,date_parse_status,Culture,Production place,Find spot
"No: 1886,0401.45",520BC-490BC (circa); 550BC - 500BC,520bc-490bc,-520.0,-490.0,-505.0,parsed_bc_range,Archaic Greek,Made in: South Ionia (historic),Excavated/Findspot: Sanctuary of Apollo (Naukratis) (Attributed by Petrie to the 'second temple of Apollo'.)
"No: 1816,0610.321",420BC-400BC,420bc-400bc,-420.0,-400.0,-410.0,parsed_bc_range,Classical Greek,,Excavated/Findspot: Athens
"No: 1893,0315.1",300BC (circa),300bc,-300.0,-300.0,-300.0,parsed_bc_single,Apulian (Greek),Made in: Taranto,Excavated/Findspot: Taranto
"No: 1843,0531.26",447BC-432BC,447bc-432bc,-447.0,-432.0,-440.0,parsed_bc_range,Classical Greek,,Excavated/Findspot: Parthenon
No: EA20577,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Excavated/Findspot: Tell Nabasha
No: EA11468,,,-1069.0,-332.0,-700.5,no_date_text,Third Intermediate; Late Period,,Found/Acquired: Egypt
No: EA60824,,,-664.0,-332.0,-498.0,no_date_text,Late Period,,Found/Acquired: Egypt
No: EA24755,,,,,,no_date_text,Third Intermediate; 26th Dynasty,,Found/Acquired: Egypt
No: EA20577,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Excavated/Findspot: Tell Nabasha
No: EA60733,,,,,,no_date_text,Ancient Egypt,,Found/Acquired: Egypt
No: EA20577,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Excavated/Findspot: Tell Nabasha
No: EA20577,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Excavated/Findspot: Tell Nabasha
No: EA60376,,,-664.0,-332.0,-498.0,no_date_text,Late Period,,Found/Acquired: Egypt
No: EA11638,,,-664.0,-332.0,-498.0,no_date_text,Late Period,,Excavated/Findspot: Tarsus
No: EA67384,,,-664.0,-332.0,-498.0,no_date_text,Late Period,,Excavated/Findspot: Saqqara (Memphis)
No: EA26230,BC1069-747 (c.),bc1069-747,-1069.0,-747.0,-908.0,parsed_bc_range_prefix,Third Intermediate,,Found/Acquired: Egypt
No: EA27544,500 BC - 350 BC,500bc-350bc,-500.0,-350.0,-425.0,parsed_bc_range,Late Period,Made in: Egypt,Excavated/Findspot: Town (historic - Naukratis)
No: EA20577,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Excavated/Findspot: Tell Nabasha
No: EA60507,,,-664.0,-332.0,-498.0,no_date_text,Late Period,,Found/Acquired: Egypt
No: EA59507,,,-664.0,-332.0,-498.0,no_date_text,Late Period,,"Excavated/Findspot: Amarna, el-"
No: EA20577,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Excavated/Findspot: Tell Nabasha
"No: 2001,0711.1",7thC,7thc,601.0,700.0,650.0,parsed_century_single,Anglo-Saxon,,Excavated/Findspot: Higham (Kent)
No: EA26591,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Found/Acquired: Egypt
No: EA59872,300BC (after),300bc,-300.0,-300.0,-300.0,parsed_bc_single,Meroitic; Roman Period,,Found/Acquired: Egypt
No: EA61035,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Found/Acquired: Egypt
No: EA20577,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Excavated/Findspot: Tell Nabasha
No: EA11291,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Found/Acquired: Egypt
"No: 1984,0603.1",1250-1350 (circa),1250-1350,1250.0,1350.0,1300.0,parsed_ad_range,,Made in: Lyveden (historic) (?);  Made in: Stanion (?),Found/Acquired: Twywell (?)
"No: Af1954,23.294",16thC-17thC (?),16thc-17thc,1501.0,1700.0,1600.0,parsed_century_range,,Made in: Benin City,Found/Acquired: Benin City
"No: 1851,0412.1",13thC,13thc,1201.0,1300.0,1250.0,parsed_century_single,,Made in: Germany,
"No: Af1949,38.1",16thC - 19thC,16thc-19thc,1501.0,1900.0,1700.0,parsed_century_range,,Made in: Benin City,Found/Acquired: Benin City
"No: 1853,0315.1",1275-1300 (about),1275-1300,1275.0,1300.0,1288.0,parsed_ad_range,Late Medieval,Made in: England (probably),"Found/Acquired: Hexham (near);  Found/Acquired: Tyne, River"
"No: 1866,1029.4",,,,,,no_date_text,Islamic,,Found/Acquired: Alhambra Palace (Granada)
"No: 1866,1029.2",,,,,,no_date_text,Islamic,,Found/Acquired: Alhambra Palace (Granada)
No: OA+.11130.1,,,,,,no_date_text,Abbasid dynasty,,Excavated/Findspot: Samarra
No: OA+.11136,9thc-19thc,9thc-19thc,801.0,1900.0,1350.0,parsed_century_range,Abbasid dynasty,,Excavated/Findspot: Great Mosque (Samarra)
No: OA+.10854,9thc-10thc,9thc-10thc,801.0,1000.0,900.0,parsed_century_range,Abbasid dynasty,,Excavated/Findspot: Great Mosque (Samarra)
No: OA+.10886,9thc,9thc,801.0,900.0,850.0,parsed_century_single,Abbasid dynasty,,Excavated/Findspot: Dar al-Khilafa
"No: 1888,0601.660",595BC-550BC (circa); 590BC (circa),595bc-550bc,-595.0,-550.0,-572.0,parsed_bc_range,Archaic Greek; East Greek,Made in: East Greece,Excavated/Findspot: Sanctuary of Aphrodite (Naukratis) (probably)
"No: 1888,0601",595BC-550BC (circa),595bc-550bc,-595.0,-550.0,-572.0,parsed_bc_range,Archaic Greek; East Greek,Made in: East Greece,Excavated/Findspot: Naukratis
"No: 1886,0401.1470",550BC (circa),550bc,-550.0,-550.0,-550.0,parsed_bc_single,East Greek; Archaic Greek,Made in: East Greece,Excavated/Findspot: Naukratis
"No: 1894,1028.1",300BC-200BC,300bc-200bc,-300.0,-200.0,-250.0,parsed_bc_range,Ptolemaic,Made in: Egypt (?),Excavated/Findspot: Coptos (historic - city)
No: WB.134,"1617-1620 (Previously said to be 1617-1620, due to incorrect identification of mark.); 1585-1590 (Given Nuremberg assay mark in use of 1576/77-1591 and reattribution to Christoph II Ritter, this object must be dated earlier than previously thought.)",1617-1620,1617.0,1620.0,1618.0,parsed_ad_range,,Made in: Nuremberg,
"No: 1864,1007.1935",450BC (circa),450bc,-450.0,-450.0,-450.0,parsed_bc_single,Classical Greek,,Excavated/Findspot: Fikellura grave 34
"No: 1894,0718.13",4thC BC(late),4thcbc,-400.0,-301.0,-350.0,parsed_century_single,Hellenistic,,Excavated/Findspot: Eretria (said to be from)
"No: As1994,05.49",1971,1971,1971.0,1971.0,1971.0,parsed_ad_single,,Made in: Oya district,
"No: 1981,1102.3",1130-1140 (circa),1130-1140,1130.0,1140.0,1135.0,parsed_ad_range,Late Medieval,,
"No: 1987,0109.2",1882 (made),1882,1882.0,1882.0,1882.0,parsed_ad_single,,Original from: North West Palace;  Factory in: Spode Works,
"No: 1987,0109.1",1882 (made),1882,1882.0,1882.0,1882.0,parsed_ad_single,,Original from: Palace of Sargon II (gateway);  Factory in: Spode Works,
"No: 1974,1002.1",10thC(late) (?); 11thC(early) (?),10thc,901.0,1000.0,950.0,parsed_century_single,Anglo-Saxon,Made in: England,
"No: 1891,0617.13",1700-1799,1700-1799,1700.0,1799.0,1750.0,parsed_ad_range,Qing dynasty,Made in: China;  Made in: Beijing (city) (?),
No: EA8544,,,,,,no_date_text,,,Found/Acquired: Egypt
"No: 1979,1006.1",1879 (modelled),1879,1879.0,1879.0,1879.0,parsed_ad_single,,Factory in: Etruria (historic - England),
No: AF.3239,1779-1789,1779-1789,1779.0,1789.0,1784.0,parsed_ad_range,,"Factory in: Faubourg Saint-Denis, rue du;  Retailed in: Échelle, rue de l' (corner of);  Retailed in: Carrousel, rue du (corner of)",
"No: 1887,0307,II.1",1750-1752 (circa),1750-1752,1750.0,1752.0,1751.0,parsed_ad_range,,Factory in: Chelsea (London),
"No: 1936,0715.29.CR",1830 (circa),1830,1830.0,1830.0,1830.0,parsed_ad_single,,Factory in: Derby (Derbyshire),
"No: 1762,0528.17",,,,,,no_date_text,,,
"No: 1907,0519.11",1stC BC-1stC,1stcbc-1stc,-100.0,100.0,0.0,parsed_century_range,Roman; Hellenistic,,Excavated/Findspot: Smyrna (historic) (said to be from)
"No: 1909,1201.103",1779 (circa),1779,1779.0,1779.0,1779.0,parsed_ad_single,,Factory in: Etruria (historic - England),
"No: 1859,1226.728",1stC-2ndC,1stc-2ndc,1.0,200.0,100.0,parsed_century_range,Roman,,Excavated/Findspot: Knidos (historic)
"No: 1772,0302.135",140-150,140-150,140.0,150.0,145.0,parsed_ad_range,Roman,,Found/Acquired: Naples (city) (vicinity)
"No: 1867,0508.105",,,,,,no_date_text,Classical World,,
"No: 1922,1114.1",440 BC - 400 BC (circa),440bc-400bc,-440.0,-400.0,-420.0,parsed_bc_range,Boeotian,Made in: Boeotia,Excavated/Findspot: Boeotia
"No: 1995,0619.1",250BC-150BC (circa),250bc-150bc,-250.0,-150.0,-200.0,parsed_bc_range,Ptolemaic,Made in: Egypt,
No: 125717,217,217,217.0,217.0,217.0,parsed_ad_single,Palmyrene,Made in: Palmyra (historic),Excavated/Findspot: Palmyra (historic)
"No: 2002,0104.1",1863; 1874,1863,1863.0,1863.0,1863.0,parsed_ad_single,,,
"No: 1824,0201.3",30BC-10BC,30bc-10bc,-30.0,-10.0,-20.0,parsed_bc_range,Roman,,
"No: 1874,0305.71",350BC (circa),350bc,-350.0,-350.0,-350.0,parsed_bc_single,Boeotian,Made in: Boeotia,Excavated/Findspot: Tanagra (historic)
"No: 1923,0212.274",700BC-600BC,700bc-600bc,-700.0,-600.0,-650.0,parsed_bc_range,Orientalising Period,,Excavated/Findspot: Sanctuary of Artemis Orthia (Lacedaemon)
"No: 1851,0813.3",2ndC,2ndc,101.0,200.0,150.0,parsed_century_single,Roman,,Excavated/Findspot: Vienne (département)
"No: 1906,0117.1",120-130 (circa),120-130,120.0,130.0,125.0,parsed_ad_range,Roman,,
"No: 1984,1022.1",2ndC,2ndc,101.0,200.0,150.0,parsed_century_single,Roman,,Excavated/Findspot: Sopron (said to be from)
No: 125016,150-200,150-200,150.0,200.0,175.0,parsed_ad_range,Palmyrene,Made in: Palmyra (historic),Excavated/Findspot: Palmyra (historic)
No: EA73988,1200BC (circa),1200bc,-1200.0,-1200.0,-1200.0,parsed_bc_single,19th Dynasty,,Found/Acquired: Egypt
No: 125033,50-150,50-150,50.0,150.0,100.0,parsed_ad_range,Palmyrene,Made in: Palmyra (historic),Excavated/Findspot: Palmyra (historic)
"No: 1805,0703.286",50-100,50-100,50.0,100.0,75.0,parsed_ad_range,Roman,,Excavated/Findspot: Porta Latina (near)
"No: 1870,0320.202",350BC-340BC (circa),350bc-340bc,-350.0,-340.0,-345.0,parsed_bc_range,Classical Greek,,Excavated/Findspot: Temple of Athena Polias (Priene)
"No: 1867,0508.819",,,,,,no_date_text,Classical World,,
"No: 1926,0324.49",350BC (circa),350bc,-350.0,-350.0,-350.0,parsed_bc_single,,Made in: Sicily,Excavated/Findspot: Sicily (?)
"No: 1824,0480.1",,,,,,no_date_text,Classical World,,
No: 125022,150-200,150-200,150.0,200.0,175.0,parsed_ad_range,Palmyrene,Made in: Palmyra (historic),Excavated/Findspot: Palmyra (historic)
"No: 1914,0219.1",40-60,40-60,40.0,60.0,50.0,parsed_ad_range,Roman,,Excavated/Findspot: Smyrna (historic) (said to be from)
"No: 1824,0452.1",300BC-100BC,300bc-100bc,-300.0,-100.0,-200.0,parsed_bc_range,Etruscan,Made in: Italy,
No: 125156,150-200,150-200,150.0,200.0,175.0,parsed_ad_range,Palmyrene,Made in: Palmyra (historic),Excavated/Findspot: Palmyra (historic)
"No: 1814,0704.749",,,,,,no_date_text,Classical World,,
"No: 1865,0103.8",222-235,222-235,222.0,235.0,228.0,parsed_ad_range,Roman,,
"No: 1824,0201.2",3rdC BC(late)-2ndC BC (of original),3rdcbc-2ndcbc,-300.0,-101.0,-200.0,parsed_century_range,Roman; Hellenistic,,
No: 132614,200-273,200-273,200.0,273.0,236.0,parsed_ad_range,Palmyrene,Made in: Palmyra (historic),Excavated/Findspot: Palmyra (historic)
"No: 1824,0461.3",50-150 (circa),50-150,50.0,150.0,100.0,parsed_ad_range,Roman,,Found/Acquired: Rome (city) (vicinity)
"No: 1953,0825.4",400BC (circa),400bc,-400.0,-400.0,-400.0,parsed_bc_single,Western Greek,Made in: Sicily,
"No: 1873,0820.72",203 (circa),203,203.0,203.0,203.0,parsed_ad_single,Roman,,
"No: 1868,0810.16",161-175,161-175,161.0,175.0,168.0,parsed_ad_range,Roman,Made in: Tunisia,Excavated/Findspot: Thapsus (said to be from)
"No: 1873,0820.9",130-140,130-140,130.0,140.0,135.0,parsed_ad_range,Roman,,
"No: 1895,1029.3",420BC-390BC (circa),420bc-390bc,-420.0,-390.0,-405.0,parsed_bc_range,Boeotian,Made in: Boeotia,Excavated/Findspot: Tanagra (historic) (said to be from)
No: WB.192,1450-1500,1450-1500,1450.0,1500.0,1475.0,parsed_ad_range,,Made in: Flanders (historic) (?);  Attributed at: Burgundy (historic) (?),
"No: 1814,0704.808",480BC (circa),480bc,-480.0,-480.0,-480.0,parsed_bc_single,East Greek,Made in: Sicily,
"No: 1805,0703.56",,,,,,no_date_text,Roman,,Excavated/Findspot: Villa Casali
"No: 1884,0604.60",150BC-50BC,150bc-50bc,-150.0,-50.0,-100.0,parsed_bc_range,Etruscan,Made in: Italy,Excavated/Findspot: Italy
"No: 1897,1026.2",2ndC,2ndc,101.0,200.0,150.0,parsed_century_single,Roman,Made in: Egypt,Excavated/Findspot: Oxyrhynchus (historic - city)
"No: 1924,1115.1",1stC-2ndC,1stc-2ndc,1.0,200.0,100.0,parsed_century_range,Roman,,Found/Acquired: Rome (city)
No: 125150,184 (September),184,184.0,184.0,184.0,parsed_ad_single,Palmyrene,Made in: Palmyra (historic),Excavated/Findspot: Palmyra (historic)
"No: 1850,0227.15",600BC-575BC,600bc-575bc,-600.0,-575.0,-588.0,parsed_bc_range,Etruscan,Made in: Italy,Excavated/Findspot: Isis Tomb
"No: 1909,0526.1",90-120,90-120,90.0,120.0,105.0,parsed_ad_range,Roman,,
"No: Am1825,1210.11",1325-1521,1325-1521,1325.0,1521.0,1423.0,parsed_ad_range,Aztec,,Excavated/Findspot: Mexico
"No: 1839,0806.1",120-130 (circa),120-130,120.0,130.0,125.0,parsed_ad_range,Roman; Hellenistic,,Excavated/Findspot: Herakleia Lynkestis (historic - Macedon) (?)
"No: 1895,1027.6",450BC (circa),450bc,-450.0,-450.0,-450.0,parsed_bc_single,Rhodian,Made in: Rhodes,
"No: 1906,0426.1",1stC,1stc,1.0,100.0,50.0,parsed_century_single,Roman,,
"No: 2003,0108.1",,,,,,no_date_text,,Made in: France (possibly),
"No: 1898,0715.2",235-250,235-250,235.0,250.0,242.0,parsed_ad_range,Roman,,
"No: 1851,0813.175",300-325,300-325,300.0,325.0,312.0,parsed_ad_range,Roman Imperial,,Excavated/Findspot: Arles (said to be from)
"No: 1897,1026.3",117-138,117-138,117.0,138.0,128.0,parsed_ad_range,Roman,Made in: Egypt,Excavated/Findspot: Oxyrhynchus (historic - city)
"No: 1972,0817.226",150-250 (circa),150-250,150.0,250.0,200.0,parsed_ad_range,Roman,,
"No: 1888,0512.9",70-100,70-100,70.0,100.0,85.0,parsed_ad_range,Roman,,
"No: 1991,0612.1",1881 (made); 1863 (base made),1881,1881.0,1881.0,1881.0,parsed_ad_single,,Factory in: Stoke-on-Trent,
"No: 1931,1019.18.CR",1815 (modelled),1815,1815.0,1815.0,1815.0,parsed_ad_single,,Factory in: Sèvres,
No: EA65666,,,-1550.0,-1069.0,-1309.5,no_date_text,New Kingdom,,Found/Acquired: Egypt
"No: 1935,1016.1.CR",1679,1679,1679.0,1679.0,1679.0,parsed_ad_single,Post-Medieval,Made in: London (England) (possibly Southwark),
"No: 1887,0307,I.718.d",1787 (circa),1787,1787.0,1787.0,1787.0,parsed_ad_single,,Factory in: Etruria (historic - England),
"No: 1867,0508.827",,,,,,no_date_text,Classical World,,
"No: 1867,0506.47",480BC (circa),480bc,-480.0,-480.0,-480.0,parsed_bc_single,East Greek,Made in: Rhodes,Excavated/Findspot: Rhodes
"No: 1776,1108.2",2ndC,2ndc,101.0,200.0,150.0,parsed_century_single,Roman,,"Found/Acquired: Vesuvius, Mount (foot of)"
"No: 1887,0307,I.718.a",1787 (circa),1787,1787.0,1787.0,1787.0,parsed_ad_single,,Factory in: Etruria (historic - England),
"No: 1887,0307,I.718.c",1787 (circa),1787,1787.0,1787.0,1787.0,parsed_ad_single,,Factory in: Etruria (historic - England),
"No: 1805,0703.94",117-138 (circa),117-138,117.0,138.0,128.0,parsed_ad_range,Roman,,
"No: 1836,0709.1",130-150 (circa),130-150,130.0,150.0,140.0,parsed_ad_range,Roman,,Found/Acquired: Hadrian's Villa (Tivoli)
"No: 2017,5003.1",420BC-400BC,420bc-400bc,-420.0,-400.0,-410.0,parsed_bc_range,Classical Greek,Made in: Boeotia,
"No: 1873,0529.10",1stC,1stc,1.0,100.0,50.0,parsed_century_single,Roman,Made in: Campania,Excavated/Findspot: Cumae (historic - Campania) (said to be from)
"No: 2023,8005.67",20thC,20thc,1901.0,2000.0,1950.0,parsed_century_single,,Made in: Turkey (?);  Made in: Albania (?),
"No: 1776,1108.4",1stC-2ndC,1stc-2ndc,1.0,200.0,100.0,parsed_century_range,Roman Imperial,,
"No: 2017,3023.1",2012,2012,2012.0,2012.0,2012.0,parsed_ad_single,,Made in: London (England),
"No: 1856,1226.767",40-50,40-50,40.0,50.0,45.0,parsed_ad_range,Roman,,Found/Acquired: Torre Annunziata
"No: 1923,0212.272",700BC-600BC (circa),700bc-600bc,-700.0,-600.0,-650.0,parsed_bc_range,Orientalising Period,,Excavated/Findspot: Sanctuary of Artemis Orthia (Lacedaemon)
"No: 1887,0307,III.8",1782-1800 (circa),1782-1800,1782.0,1800.0,1791.0,parsed_ad_range,,Factory in: Derby (Derbyshire),
"No: 1772,0301.16.a",2ndC,2ndc,101.0,200.0,150.0,parsed_century_single,Roman,,Excavated/Findspot: Italy
"No: 1856,1226.325",420BC-400BC (circa),420bc-400bc,-420.0,-400.0,-410.0,parsed_bc_range,Western Greek,Made in: Taranto,Excavated/Findspot: Bari (town)
"No: 1824,0492.6",160-180,160-180,160.0,180.0,170.0,parsed_ad_range,Roman,,
No: EA61083,,,,,,no_date_text,Ramesside,,Found/Acquired: Thebes (historic - Upper Egypt) (probably)
"No: 1814,0704.747",1stC-3rdC,1stc-3rdc,1.0,300.0,150.0,parsed_century_range,Roman Imperial,,
"No: 1824,0201.7",193,193,193.0,193.0,193.0,parsed_ad_single,Roman,,
"No: 1836,0224.439",380BC (circa),380bc,-380.0,-380.0,-380.0,parsed_bc_single,,Made in: Locri Epizephyrii (historic),Excavated/Findspot: Sicily
"No: 1974,1212.4",1500 (circa),1500,1500.0,1500.0,1500.0,parsed_ad_single,,Made in: Italy,
"No: 1873,0820.584",250BC-200BC (circa),250bc-200bc,-250.0,-200.0,-225.0,parsed_bc_range,Western Greek,Made in: Canosa di Puglia,Excavated/Findspot: Canosa di Puglia
No: SLPictures.191,late 17thC- early 18thC,17thc-18thc,1601.0,1800.0,1700.0,parsed_century_range,,Made in: Italy,
"No: 1923,0212.267",700BC-600BC (circa),700bc-600bc,-700.0,-600.0,-650.0,parsed_bc_range,Orientalising Period,,Excavated/Findspot: Sanctuary of Artemis Orthia (Lacedaemon)
"No: 1772,0302.152",2ndC-3rdC,2ndc-3rdc,101.0,300.0,200.0,parsed_century_range,Roman,,
"No: 2010,2042.1",2010,2010,2010.0,2010.0,2010.0,parsed_ad_single,,Made in: London (England),Found/Acquired: London (England)
No: EA58783,,,,,,no_date_text,Ramesside,,Found/Acquired: Egypt
"No: 1887,0307,II.33",1755-1760 (circa),1755-1760,1755.0,1760.0,1758.0,parsed_ad_range,,Factory in: Shaw's Brow;  Made in: Vauxhall (probably),
No: 125031,150-200,150-200,150.0,200.0,175.0,parsed_ad_range,Palmyrene,Made in: Palmyra (historic),Excavated/Findspot: Palmyra (historic)
"No: 1970,0216.1",1stC,1stc,1.0,100.0,50.0,parsed_century_single,Roman,,Excavated/Findspot: Alexandria (Egypt)
No: 125204,50-150,50-150,50.0,150.0,100.0,parsed_ad_range,Palmyrene,Made in: Palmyra (historic),Excavated/Findspot: Palmyra (historic)
No: 125024,200-273,200-273,200.0,273.0,236.0,parsed_ad_range,Palmyrene,Made in: Palmyra (historic),Excavated/Findspot: Palmyra (historic)
No: 125036,50-150,50-150,50.0,150.0,100.0,parsed_ad_range,Palmyrene,Made in: Palmyra (historic),Excavated/Findspot: Palmyra (historic)
"No: 1824,0480.8",,,,,,no_date_text,Classical World,,
"No: 1837,0609.84",650BC-600BC (circa),650bc-600bc,-650.0,-600.0,-625.0,parsed_bc_range,Etruscan,Made in: Italy,Excavated/Findspot: Vulci (probably)
"No: 1805,0703.44",140-160 (circa),140-160,140.0,160.0,150.0,parsed_ad_range,Roman,,Excavated/Findspot: Via Appia
"No: 1816,0610.128",421BC-406BC,421bc-406bc,-421.0,-406.0,-414.0,parsed_bc_range,Classical Greek,,Excavated/Findspot: Erechtheion
No: C.228.9,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Apadana (Persepolis),
No: C.225.16,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.226.8a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.225.17a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.225.20,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.228.4,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Apadana (Persepolis),
No: C.225.14,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.225.13,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.145,10thC BC (original),10thcbc,-1000.0,-901.0,-950.0,parsed_century_single,Neo-Hittite,Original from: Herald's wall,
No: C.226.5a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.228.6,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Apadana (Persepolis),
No: C.225.8,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.226.7a,2005,2005,2005.0,2005.0,2005.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis);  Made in: Windsor,
No: C.228.7,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Apadana (Persepolis),
No: C.154,8thC BC (original),8thcbc,-800.0,-701.0,-750.0,parsed_century_single,Neo-Hittite,Original from: Royal Buttress,
No: C.152,8thC BC (original),8thcbc,-800.0,-701.0,-750.0,parsed_century_single,Neo-Hittite,,Excavated/Findspot: Royal Buttress
No: C.228.8,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Apadana (Persepolis),
No: C.226.10a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.226.14a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.226.13a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.225.21,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.150,8thC BC (original),8thcbc,-800.0,-701.0,-750.0,parsed_century_single,Neo-Hittite,,Excavated/Findspot: Royal Buttress
No: C.225.11,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.226.2a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.228.2,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Apadana (Persepolis),
No: C.232,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.225.15,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.226.1a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.228.5,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Apadana (Persepolis),
No: C.228.1,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Apadana (Persepolis),
No: C.226.6a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.226.11a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.225.10,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.226.4a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.225.9,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.225.22,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.226.15a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.225.7,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.225.24,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.225.12,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.226.9a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.225.18,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.233,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.225.23,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
No: C.228.3,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Apadana (Persepolis),
No: C.226.3a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.226.12a,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: Palace of Darius (Persepolis),
No: C.225.19,1892,1892,1892.0,1892.0,1892.0,parsed_ad_single,,Original from: One Hundred Column Hall,
"No: Am,St.536",1200 BC - 400 BC,1200bc-400bc,-1200.0,-400.0,-800.0,parsed_bc_range,Olmec,,Excavated/Findspot: Mexico
"No: 1836,0224.398",620BC-580BC,620bc-580bc,-620.0,-580.0,-600.0,parsed_bc_range,Etruscan,Made in: Cerveteri,Excavated/Findspot: Volterra (?);  Excavated/Findspot: Chiusi (?)
"No: 1863,0330.25",7thC BC,7thcbc,-700.0,-601.0,-650.0,parsed_century_single,East Greek; Orientalising Period,,Excavated/Findspot: Kamiros (historic)
No: EA69151,,,-1550.0,-1292.0,-1421.0,no_date_text,18th Dynasty,,Found/Acquired: Egypt
No: EA51820,,,-664.0,-332.0,-498.0,no_date_text,Late Period,,Found/Acquired: Egypt
No: EA68292,,,-664.0,-332.0,-498.0,no_date_text,Late Period,,Excavated/Findspot: Saqqara (Memphis)
No: EA67196,,,-664.0,-332.0,-498.0,no_date_text,Late Period,,Excavated/Findspot: Saqqara (Memphis)
"No: 1873,0820.487",480BC-460BC (circa),480bc-460bc,-480.0,-460.0,-470.0,parsed_bc_range,Western Greek,Made in: Campania,Excavated/Findspot: Capua
