RecordID,Museum,AcqDate,ObjectType,ItemDate,ModernCountry,ItemMaterial,ItemTechnique,CorrectedStartDate,CorrectedEndDate,CorrectedMidpointDate
4549,VAM,2019,Sculpture,2018,United Kingdom,porcelain,,2018.0,2018.0,2018.0
4566,VAM,2024,Sculpture,2023,Germany,stoneware,,2023.0,2023.0,2023.0
4567,VAM,2010,Sculpture,2007,,glass,lost-wax process,2007.0,2007.0,2007.0
4568,VAM,2020,Sculpture,1995,,earthenware,,1995.0,1995.0,1995.0
4569,VAM,2011,Sculpture,2005,,,,2005.0,2005.0,2005.0
4570,VAM,2023,Sculpture,,,Stainless steel,,,,
4571,VAM,2023,Sculpture,,,Stainless steel,,,,
4572,VAM,2021,Sculpture ,2020,Japan,Lacquer,,2020.0,2020.0,2020.0
4573,VAM,2024,Sculpture,2023,Japan,,,2023.0,2023.0,2023.0
4576,VAM,2024,Sculpture,2003,,,,2003.0,2003.0,2003.0
4577,VAM,2005,Sculpture,2004,Netherlands,,,2004.0,2004.0,2004.0
4579,VAM,2009,Statuette,1905 - 1906,United Kingdom,Spelter,Cast,1905.0,1906.0,1906.0
4584,VAM,2021,Sculpture,1957-58,,stoneware,,1957.0,58.0,1008.0
4585,VAM,2024,Sculpture,2023,,,,2023.0,2023.0,2023.0
4586,VAM,2007,Sculpture,2005,,glass,kiln formed,2005.0,2005.0,2005.0
4587,VAM,2021,Sculpture,1994,,stoneware,,1994.0,1994.0,1994.0
4590,VAM,2017,Sculpture,2015,,glass,,2015.0,2015.0,2015.0
4591,VAM,2018,Sculpture,2010,,Earthenware,glazed,2010.0,2010.0,2010.0
4592,VAM,2015,Sculpture,1524-1529,United Kingdom,copper,cast,1524.0,1529.0,1526.0
4593,VAM,2015,Sculpture,1524-1529,United Kingdom,Copper,casting,1524.0,1529.0,1526.0
4594,VAM,2015,Sculpture,1524-1529,United Kingdom,copper,casting,1524.0,1529.0,1526.0
4596,VAM,2015,Sculpture,1524-1529,United Kingdom,Copper,casting,1524.0,1529.0,1526.0
4601,VAM,2005,Sculpture,2004,,lead glass,cut,2004.0,2004.0,2004.0
4603,VAM,2024,Sculpture,2012,China,lacquer,,2012.0,2012.0,2012.0
4605,VAM,2021,Sculpture,,,stoneware,,,,
4606,VAM,2023,Sculpture,2021,,bronze,,2021.0,2021.0,2021.0
4609,VAM,2013,Textile sculpture,2010,,Manilla hemp,sewing,2010.0,2010.0,2010.0
4613,VAM,2019,Sculpture,19th century,Thailand,Bronze,,1801.0,1900.0,1850.0
4617,VAM,2011,Sculpture,2006,,,,2006.0,2006.0,2006.0
4622,VAM,2018,Sculpture,2018,Spain,resin,,2018.0,2018.0,2018.0
4625,VAM,2007,Sculpture,2006,,,,2006.0,2006.0,2006.0
4631,VAM,2011,Sculpture,2011,Japan,Porcelain,Slip-casting,2011.0,2011.0,2011.0
4638,VAM,2024,Sculpture,2021,,,,2021.0,2021.0,2021.0
4640,VAM,2018,Sculpture,2017,China,,,2017.0,2017.0,2017.0
4641,VAM,2024,Sculpture,2016,Japan,glass,Pâte-de-verre,2016.0,2016.0,2016.0
4648,VAM,2024,Sculpture,2024,,Glass,lost-wax process,2024.0,2024.0,2024.0
4656,VAM,2012,Sculpture,2011,Japan,Porcelain,Hand-built,2011.0,2011.0,2011.0
4676,VAM,2007,Sea sculpture,ca. 1725,,ceramic,thrown,1725.0,1725.0,1725.0
4677,VAM,2007,Sea sculpture,ca. 1725,,earthenware,thrown,1725.0,1725.0,1725.0
4692,VAM,2018,Sculpture,2016,,porcelain,glazing,2016.0,2016.0,2016.0
4698,VAM,2023,statuette,1620-1640,Italy,,,1620.0,1640.0,1630.0
4701,VAM,2020,Bag,2019,,plastic,sewn,2019.0,2019.0,2019.0
4711,VAM,2021,Ceramic sculpture,,,ceramic,,,,
4727,VAM,2018,Ceramic sculpture,2010,,porcelain,hand thrown,2010.0,2010.0,2010.0
