RecordID,Museum,LocalID,AcqDate,ObjectType,ItemDate,StartDate,EndDate,MidpointDate,ItemPlace,ModernCountry,Culture,ItemMaterial,ItemTechnique
01848,BM,"No: 1922,0712.6",1922,figure,2ndC BC-1stC BC,-200.0,-1.0,-100.0,,Greece,Hellenistic,bronze,
01849,BM,"No: 1872,0701.131",1872,figure,18thC(late),1701.0,1800.0,1750.0,Jaipur,India,,alabaster,carved; painted
01850,BM,No: 1880.296,,figure,13thC-14thC (circa),1201.0,1400.0,1300.0,Java,Indonesia,,volcanic stone,carved
01851,BM,"No: 1865,0103.36",1865,figure,1stC-2ndC,1.0,200.0,100.0,,Italy,Roman,bronze,
01852,BM,"No: 1893,0712.3",1893,figure,4thC BC,-400.0,-301.0,-350.0,,Greece,Classical Greek,marble,
01853,BM,No: 1880.461,,figure; cinerary urn,,,,,,India,,earthenware,incised
01854,BM,"No: 1864,1007.159",1864,figure,5thC BC(early),-500.0,-401.0,-450.0,Rhodes,Greece,East Greek,terracotta,mould-made; slipped
01855,BM,"No: 1889,1019.12",1889,figure,200-250 (circa),200.0,250.0,225.0,,Italy,Roman,silver,
01856,BM,"No: 2022,3034.84",2022,figure; fitting,11thC BC-8thC BC,-1100.0,-701.0,-900.0,China,China,Western Zhou dynasty,jade; cinnabar,carved; incised
01857,BM,No: Am.2291,1866,figure,1858 (circa),1858.0,1858.0,1858.0,,,,maple wood,carved; painted
01858,BM,"No: 1887,0307,II.300",1887,figure,1773-1774,1773.0,1774.0,1774.0,Chelsea,United Kingdom,,porcelain; gold,biscuit-fired; glazed; gilded
01859,BM,"No: Am1842,0611.2",1842,figure,900-1521,900.0,1521.0,1210.0,,Mexico,Huaxtec,stone,
01860,BM,No: EA38022,1903,figure,,,,,,Egypt,1st Dynasty; 2nd Dynasty,glazed composition,glazed
01861,BM,"No: 1982,1002.9",1982,figure,250BC-200BC (circa),-250.0,-200.0,-225.0,Boeotia,Greece,Hellenistic,terracotta; gold,painted; gilded
01862,BM,"No: 2022,3034.213",2022,figure,7thC-10thC,601.0,1000.0,800.0,China,China,Tang dynasty,jade,
01863,BM,No: Franks.1614,,figure,18thC,1701.0,1800.0,1750.0,,China,Qing dynasty,porcelain,glazed; painted
01864,BM,"No: Af1978,02.23",1978,figure,,,,,Numan,,,terracotta; pottery,
01865,BM,No: 1880.1025,,figure,1800 (circa),1800.0,1800.0,1800.0,,India,,wood,
01866,BM,No: EA22913,1891,figure,,-1069.0,-664.0,-866.5,,Egypt,Third Intermediate,wood,painted
01867,BM,"No: 1989,0621.3",1989,figure,4thC-5thC,301.0,500.0,400.0,Gandhara,Pakistan,,stucco,moulded; painted
01868,BM,"No: 1814,0704.411",1814,figure,1stC-2ndC,1.0,200.0,100.0,,Italy,Roman,bronze,
01869,BM,"No: 1934,0310.5",1934,figure,800BC-700BC (circa),-800.0,-700.0,-750.0,,Greece,Geometric Greek,bronze,
01870,BM,"No: 1985,0726.1",1985,figure,13thC; 10thC (According to Rawson 1992.),1201.0,1300.0,1250.0,,China,Yuan dynasty; Five Dynasties,wood; gesso,pigmented
01871,BM,No: 91144,1890,figure,1834BC-1823BC,-1834.0,-1823.0,-1828.0,,Iraq,Old Babylonian,copper alloy,
01872,BM,"No: 1958,1215.1",1958,figure,10thC-11thC,901.0,1100.0,1000.0,,India,Pala,bronze; stone; silver,inlaid; cast
01873,BM,"No: 1898,0702.151",1898,figure,18thC-19thC,1701.0,1900.0,1800.0,,Sri Lanka,,bronze,
01874,BM,"No: 1881,0709.11",1881,figure,3rdC BC(late),-300.0,-201.0,-250.0,Egypt,Egypt,Ptolemaic,terracotta,pierced; painted
01875,BM,"No: 1882,1214.1",1868,figure,,,,,,United Kingdom,Romano-British,copper alloy,
01876,BM,"No: 1915,0515.1",1915,figure,1150-1200 (circa),1150.0,1200.0,1175.0,,,,marble,
01877,BM,"No: 1907,0519.46",1907,figure,1stC(late) BC-1stC(early),-100.0,100.0,0.0,,Turkey,Roman; Hellenistic,terracotta,
01878,BM,"No: 1841,0710.1",1841,figure,200 (circa),200.0,200.0,200.0,,Italy,Roman,bronze,
01879,BM,"No: 1873,0820.690",,figure,1stC-3rdC,1.0,300.0,150.0,,Italy,Roman,ivory,
01880,BM,"No: 1982,1005.18",1982,figure; lekythos,325BC-275BC,-325.0,-275.0,-300.0,Canosa di Puglia,Italy,Western Greek,pottery,slipped
01881,BM,"No: Am1989,13.12.a",1989,figure,1980s,1980.0,1989.0,1984.0,Mexico City,,,papier mâché; cane,painted
01882,BM,"No: 1863,0728.374",1863,figure,200BC-100BC (circa),-200.0,-100.0,-150.0,Centuripe,Italy,Sicilian,terracotta,
01883,BM,No: 22458,1854,figure,700BC-500BC,-700.0,-500.0,-600.0,,Iraq,Late Babylonian,fired clay,
01884,BM,"No: PDF,A.470",02 Apr 2025,figure,18thC-19thC,1701.0,1900.0,1800.0,Dehua,China,Qing dynasty,porcelain,glazed
01885,BM,No: 1880.147,1880,figure,10thC (circa),901.0,1000.0,950.0,,,,sandstone,
